item,Title,version,header,avoid,continuation,name_gender,notes,locus_of_uncertainty,locus_of_uncertainty_location
Wind Damage,Wind Damage,unambiguous_covered,"Tom's home insurance policy includes coverage for ""Wind Damage,"" defined as <b>""damage from wind speeds with gusts of at least 55 mph.""</b>",FALSE,"Tom's house is located near a large lake. One day, strong winds in excess of 55mph blow across the lake and towards Tom's house, damaging the roof. Tom files a claim with his insurance company for the damage. However, the insurance company denies Tom's claim, arguing that the damage is not covered.",male,damage from wind,"causative ""from""",definition
Wind Damage,Wind Damage,controversial,"Tom's home insurance policy includes coverage for ""Wind Damage,"" defined as <b>""damage from wind speeds with gusts of at least 55 mph.""</b>",FALSE,"Tom's house is located near a large lake. One day, strong winds in excess of 55mph blow across the lake, causing waves to crash into Tom's house and thereby damaging the roof. Tom files a claim with his insurance company for the damage. However, the insurance company denies Tom's claim, arguing that the damage is not covered.",male,is damage from waves caused by wind damage 'from' wind?,"causative ""from""",definition
Storm Damage and Maintenance,Storm Damage and Maintenance II,unambiguous_uncovered,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>",FALSE,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. However, the insurance company denies Cam's claim, arguing that the damage is not covered.",male,"cam definitely cause, not storm",cause,definition
Storm Damage,Storm Damage and Maintenance II,unambiguous_covered,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>",FALSE,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his roof, causing a fire. Almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. However, the insurance company denies Cam's claim, arguing that the damage is not covered.",male,storm definitely cause,cause,definition
Storm Damage,Storm Damage and Maintenance II,controversial,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>",FALSE,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. However, the insurance company denies Cam's claim, arguing that the damage is not covered.",male,"power surge, maybe cause?",cause,definition
Hail Damage,Hail Damage,unambiguous_uncovered,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>",FALSE,"One day, a hail storm hits Rick's house and causes damage to the plants on his balcony. Many plants lost leaves and some were completely covered in ice, causing them to die. Rick files a claim with his insurance company for the damage. However, the insurance company denies Rick's claim, arguing that the damage is not covered.",male,plants not hard surface,hard surface,definition
Hail Damage,Hail Damage,unambiguous_covered,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>",FALSE,"One day, a hail storm hits Rick's house and causes damage to his roof's clay shingles. Many shingles were chipped and some even developed large cracks, causing the roof to leak. Rick files a claim with his insurance company for the damage. However, the insurance company denies Rick's claim, arguing that the damage is not covered.",male,clay shingle probably a hard surface,hard surface,definition
Hail Damage,Hail Damage,controversial,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>",FALSE,"One day, a hail storm hits Rick's house and causes damage to his roof's wood shingles. Many shingles were chipped and some even developed small cracks, but the roof is not leaking. Rick files a claim with his insurance company for the damage. However, the insurance company denies Rick's claim, arguing that the damage is not covered.",male,wood shingle maybe not a hard surface?,hard surface,definition
Ground Heave,Ground Heave I,unambiguous_uncovered,"Blake has building insurance against ""Ground Heave,"" defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>",FALSE,"One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage. However, the insurance company denies Blake's claim, arguing that the damage is not covered.",male,dance party not ground heave,ground heave,title 
Ground Heave,Ground Heave I,unambiguous_covered,"Blake has building insurance against ""Ground Heave,"" defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>",FALSE,"One evening, an earthquake erupts near Blake's house. The force of the earthquake causes Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage. However, the insurance company denies Blake's claim, arguing that the damage is not covered.",male,earthquake def ground heave,ground heave,title 
Ground Heave,Ground Heave I,controversial,"Blake has building insurance against ""Ground Heave,"" defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>",FALSE,"One evening, two semi trucks collide with one another at high speed outside Blake's house. The impact from the crash causes Blake's house to shake and thereby damages the house's foundation. Blake files a claim with his insurance company for the damage. However, the insurance company denies Blake's claim, arguing that the damage is not covered.",male,ground shaking from large crash = heave?,ground heave,title 
Ground Heave,Ground Heave II,unambiguous_uncovered,"Clint has building insurance against ""Ground Heave,"" defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>",FALSE,"One day, Clint hears a loud crash in his house and finds that his roof has partly caved in due to water damage. Clint files a claim with his insurance company for the damage. However, the insurance company denies Clint's claim, arguing that the damage is not covered.",male,roof caving in = def not ground heave,ground heave,title 
Ground Heave,Ground Heave II,unambiguous_covered,"Clint has building insurance against ""Ground Heave,"" defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>",FALSE,"One day, Clint hears a loud crash in his house and finds that the ground beneath his house has shifted, causing his house's foundation to crack. Clint files a claim with his insurance company for the damage. However, the insurance company denies Clint's claim, arguing that the damage is not covered.",male,shifting ,ground heave,title 
Ground Heave,Ground Heave II,controversial,"Clint has building insurance against ""Ground Heave,"" defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>",FALSE,"One day, Clint hears a loud crash in his house and finds that a large tree has fallen on his roof, causing significant damage. Clint files a claim with his insurance company for the damage. However, the insurance company denies Clint's claim, arguing that the damage is not covered.",male,fallen tree = possibly ground heave? ,ground heave,title 
Trace and Access,Trace and Access I,unambiguous_uncovered,"Justin has insurance that covers ""Trace and Access"", defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables or pipes in your home.""</b>",FALSE,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he accidentally drops his wedding ring down a pipe that leads to the kitchen. In order to access the pipe and retrieve the ring, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage. However, the insurance company denies Justin's claim, arguing that the damage is not covered.",male,dropping wedding ring: not necessary/reasonable,necessary and reasonable,definition
Trace and Access,Trace and Access I,unambiguous_covered,"Justin has insurance that covers ""Trace and Access"", defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables or pipes in your home.""</b>",FALSE,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he notices more extensive damage to a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage. However, the insurance company denies Justin's claim, arguing that the damage is not covered.",male,further damage: necessary/reasonable,necessary and reasonable,definition
Trace and Access,Trace and Access I,controversial,"Justin has insurance that covers ""Trace and Access"", defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables or pipes in your home.""</b>",FALSE,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he inadvertently punctures a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage. However, the insurance company denies Justin's claim, arguing that the damage is not covered.",male,"skilled guy causing more damage, maybe reasonable?",necessary and reasonable,definition
Trace and Access,Trace and Access II,unambiguous_uncovered,"Jett has insurance that covers ""Trace and Access"", defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from your home.""</b>",FALSE,"Jett discovers that his house's water pressure is very low, and he calls an inspector to survey what may be the issue. Floorboards have to be removed to access the piping. It is then discovered that in an effort to save money, Jett's previous attempt install his own water pipes went awry. Jett files a claim with his insurance company for the damage. However, the insurance company denies Jett's claim, arguing that the damage is not covered. ",male,no accidental ,accidental ,definition
Trace and Access,Trace and Access II,unambiguous_covered,"Jett has insurance that covers ""Trace and Access"", defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from your home.""</b>",FALSE,"Jett discovers that his house's water pressure is very low, and he calls an inspector to survey what may be the issue. Floorboards have to be removed to access the piping. It is then discovered that the water pipes froze in a recent winter storm, causing them to abruptly crack. Jett files a claim with his insurance company for the damage. However, the insurance company denies Jett's claim, arguing that the damage is not covered. ",male,yes accidental ,accidental ,definition
Trace and Access,Trace and Access II,controversial,"Jett has insurance that covers ""Trace and Access"", defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from your home.""</b>",FALSE,"Jett discovers that his house's water pressure is very low, and he calls an inspector to survey what may be the issue. Floorboards have to be removed to access the piping. It is then discovered that the water pipes have cracked over time due to long-term wear, an issue which could have been resolved by the previous inspector. Jett files a claim with his insurance company for the damage. However, the insurance company denies Jett's claim, arguing that the damage is not covered. ",male,maybe accidental ,accidental ,definition
Trailers and Towing for a Goods Carrying Vehicle,Goods Carrying Vehicle: Trailers and Towing,unambiguous_uncovered,"Maria has an insurance policy that covers ""Trailers and Towing for a Goods Carrying Vehicle"" defined as <b>""damage incurred on trailers or towing equipment for vehicles carrying goods related to the policyholder's occupation."" In order for the policy to apply, <b> the policyholder must have received payment for the use of their aforementioned trailers or towing equipment when it incurred the damage in question.</b>",FALSE,"Maria owns a truck and trailer for her ranch in a small rural town. The town frequently is hit with bad weather and it is often hard to get a tow truck to retrieve a vehicle. One day, Maria's friend calls her and informs her that she has broken down. Her friend offers to pay Maria a fair sum of money to use her trailer to take her car to a repair shop. Maria declines payment, opting to do it out of generosity. She eventually reaches her friend's location. While Maria is hauling her friend's car on her trailer, her tow hook snaps, damaging both the car and the trailer. Maria files a claim with her insurance company for the damage. However, the insurance company denies Maria's claim, arguing that the damage is not covered. ",female,no payment recieved,payment received,definition
Trailers and Towing for a Goods Carrying Vehicle,Goods Carrying Vehicle: Trailers and Towing,unambiguous_covered,"Maria has an insurance policy that covers ""Trailers and Towing for a Goods Carrying Vehicle"" defined as <b>""damage incurred on trailers or towing equipment for vehicles carrying goods related to the policyholder's occupation."" In order for the policy to apply, <b> the policyholder must have received payment for the use of their aforementioned trailers or towing equipment when it incurred the damage in question.</b>",FALSE,"Maria owns a truck and trailer for her ranch in a small rural town. The town frequently is hit with bad weather and it is often hard to get a tow truck to retrieve a vehicle. One day, Maria's friend calls her and informs her that she has broken down. Her friend offers to pay Maria a fair sum of money to use her trailer to take her car to a repair shop. Maria agrees to the deal, and reaches her friend's location. While Maria is hauling her friend's car on her trailer, her tow hook snaps, damaging both the car and the trailer. Maria files a claim with her insurance company for the damage. However, the insurance company denies Maria's claim, arguing that the damage is not covered.",female,yes payment received,payment received,definition
Trailers and Towing for a Goods Carrying Vehicle,Goods Carrying Vehicle: Trailers and Towing,controversial,"Maria has an insurance policy that covers ""Trailers and Towing for a Goods Carrying Vehicle"" defined as <b>""damage incurred on trailers or towing equipment for vehicles carrying goods related to the policyholder's occupation."" In order for the policy to apply, <b> the policyholder must have received payment for the use of their aforementioned trailers or towing equipment when it incurred the damage in question.</b>",FALSE,"Maria owns a truck and trailer for her ranch in a small rural town. The town frequently is hit with bad weather and it is often hard to get a tow truck to retrieve a vehicle. One day, Maria's lawyer friend calls her and informs her that she has broken down. Her friend offers to pay Maria a fair sum of money to use her trailer to take her car to a repair shop. Maria declines monetary payment, and instead asks her friend to reimburse her with free legal services if she is ever in need of them.  he eventually reaches her friend's location. While Maria is hauling her friend's car on her trailer, her tow hook snaps, damaging both the car and the trailer. Fortunately, no one was injured. Maria files a claim with her insurance company for the damage. However, the insurance company denies Maria's claim, arguing that the damage is not covered. ",female,maybe payment recieved,payment received,definition
Vehicle Damage,Vehicle Damage I,unambiguous_uncovered,"Jenny's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss of or damage to the policyholder's car if, at the time of the incident, it was under the custody or control of anyone with the policyholder's permission who is not covered under the policy.""</b>",FALSE,"Jenny goes on vacation and leaves her car key with a friend so that the friend can use the car while she is away. One day, while the car is parked on the street outside her friend's house, a utility poll falls unexpectedly and lands on the hood of the car, damaging it severely. Jenny files a claim with her insurance company for the damage. However, the insurance company denies Jenny's claim, arguing that the damage is not covered. ",female,friend def in custody,custody or control,exclusion
Vehicle Damage,Vehicle Damage I,unambiguous_covered,"Jenny's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss of or damage to the policyholder's car if, at the time of the incident, it was under the custody or control of anyone with the policyholder's permission who is not covered under the policy.""</b>",FALSE,"Jenny goes on vacation and leaves her car key in a safe inside her house. One day, while the car is parked on the street outside her house, a utility poll falls unexpectedly and lands on the hood of the car, damaging it severely. Jenny files a claim with her insurance company for the damage. However, the insurance company denies Jenny's claim, arguing that the damage is not covered. ",female,no one in custody,custody or control,exclusion
Vehicle Damage,Vehicle Damage I,controversial,"Jenny's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss of or damage to the policyholder's car if, at the time of the incident, it was under the custody or control of anyone with the policyholder's permission who is not covered under the policy.""</b>",FALSE,"Jenny goes on vacation and leaves her car key with her neighbor for safe keeping. One day, while the car is parked on the street outside her house, a utility poll falls unexpectedly and lands on the hood of the car, damaging it severely. Jenny files a claim with her insurance company for the damage. However, the insurance company denies Jenny's claim, arguing that the damage is not covered. ",female,neighbor maybe not 'custody',custody or control,exclusion
Vehicle Damage,Vehicle Damage II,unambiguous_uncovered,"John's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss or damage caused by wear and tear.""</b>",FALSE,"John takes generally good care of his car, but over the years he has noticed a gradual buildup of rust on his front left wheel. He brings the car to a mechanic to have the wheel replaced. John files a claim with his insurance company for the damage. However, the insurance company denies John's claim, arguing that the damage is not covered. ",male,rust def wear and tear,wear and tear,exclusion
Vehicle Damage,Vehicle Damage II,unambiguous_covered,"John's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss or damage caused by wear and tear.""</b>",FALSE,"John takes generally good care of his car, but one day he is involved in a minor accident which damages his front left wheel. He brings the car to a mechanic to have the wheel replaced. John files a claim with his insurance company for the damage. However, the insurance company denies John's claim, arguing that the damage is not covered. ",male,minor accident = def not wear and tear,wear and tear,exclusion
Vehicle Damage,Vehicle Damage II,controversial,"John's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss or damage caused by wear and tear.""</b>",FALSE,"John takes generally good care of his car, but one day he is involved in a minor accident which knocks his front left wheel out of alignment. He brings his car in to a mechanic to have the wheel re-aligned, but the mechanic tells John that he his car will also need substantial repair work, because the unaligned wheel has been scraping against the body of the car since the accident. John files a claim with his insurance company for the damage. However, the insurance company denies John's claim, arguing that the damage is not covered. ",male,wear and tear if caused by accident? ,wear and tear,exclusion
Vehicle Damage,Vehicle Damage III,unambiguous_uncovered,"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b> ",FALSE,"One day, Steve is involved in a minor accident. His favorite guitar, which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage. However, the insurance company denies Steve's claim, arguing that the damage is not covered. ",male,guitar not accessory,accessory,definition
Vehicle Damage,Vehicle Damage III,unambiguous_covered,"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b> ",FALSE,"One day, Steve is involved in a minor accident. His GPS navigation system, which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage. However, the insurance company denies Steve's claim, arguing that the damage is not covered. ",male,gps navigation system def accessory,accessory,definition
Vehicle Damage,Vehicle Damage III,controversial,"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b> ",FALSE,"One day, Steve is involved in a minor accident. His tablet computer, which he uses for navigation and which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage. However, the insurance company denies Steve's claim, arguing that the damage is not covered. ",male,tablet used for navigation possibly accessory,accessory,definition
Vehicle Damage,Vehicle Damage IV,unambiguous_uncovered,"Chris's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) audio equipment (while in the car)."" </b> ",FALSE,"One day, Chris is involved in a minor accident. His work laptop, which was in the car at the time, was damaged. Chris files a claim with his insurance company for the damage. However, the insurance company denies Chris's claim, arguing that the damage is not covered. ",male,laptop not audio equipment,audio equipment,definition
Vehicle Damage,Vehicle Damage IV,unambiguous_covered,"Chris's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) audio equipment (while in the car)."" </b> ",FALSE,"One day, Chris is involved in a minor accident. His car stereo system and speakers were damaged. Chris files a claim with his insurance company for the damage. However, the insurance company denies Chris's claim, arguing that the damage is not covered. ",male,car stereo definitely audio equipment,audio equipment,definition
Vehicle Damage,Vehicle Damage IV,controversial,"Chris's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) audio equipment (while in the car)."" </b> ",FALSE,"One day, Chris is involved in a minor accident. His portable Bluetooth speaker, which was in the car at the time, was damaged. Chris files a claim with his insurance company for the damage. However, the insurance company denies Chris's claim, arguing that the damage is not covered. ",male,Bluetooth headset maybe not audio equipment for purposes of policy,audio equipment,definition
Vehicle Damage,Vehicle Damage V,unambiguous_uncovered,"James' car insurance policy includes coverage for ""Vehicle Damage,"" defined as  <b>""damage to the policy holder's 1) car; or 2) car accessories, including children's car seats (while in or on the car.)"" </b>",FALSE,"James is about to head out for work when he realizes he needs to clean out his car since he'll be taking some colleagues to lunch. He removes his child's car seat and places it on the trunk of the car. He heads back into his house to grab something he forgot, and he returns to find that the car seat has been stolen. James files a claim with his insurance company for the loss. However, the insurance company denies James' claim, arguing that the loss is not covered. ",male,theft not damage,damage,title
Vehicle Damage,Vehicle Damage V,unambiguous_covered,"James' car insurance policy includes coverage for ""Vehicle Damage,"" defined as  <b>""damage to the policy holder's 1) car; or 2) car accessories, including children's car seats (while in or on the car.)"" </b>",FALSE,"James is about to head out for work when he realizes he needs to clean out his car since he'll be taking some colleagues to lunch. He removes his child's car seat and places it on the trunk of the car. He heads back into his house to grab something he forgot, and he returns to find that another car has crashed into his parked car. The car seat is severely damaged in the crash. James files a claim with his insurance company for the damage. However, the insurance company denies James' claim, arguing that the damage is not covered. ",male,car seat definitely covered,damage,title
Vehicle Damage,Vehicle Damage V,controversial,"James' car insurance policy includes coverage for ""Vehicle Damage,"" defined as  <b>""damage to the policy holder's 1) car; or 2) car accessories, including children's car seats (while in or on the car.)"" </b>",FALSE,"James is about to head out for work when he realizes he needs to clean out his car since he'll be taking some colleagues to lunch. He removes his child's car seat and places it on the trunk of the car. James forgets about the car seat and begins to drive away with it still on his car. Shortly thereafter, he gets into an accident. The car seat is severely damaged in the crash.  James files a claim with his insurance company for the damage. However, the insurance company denies James' claim, arguing that the damage is not covered. ",male,car seat maybe not covered?,damage,title
Vehicle Theft,Vehicle Theft I,unambiguous_uncovered,"Gisele's car insurance policy includes coverage for ""Vehicle Theft,"" defined as  <b>loss or damage as a result of theft to the policy holder's car or audio equipment (while in or on the car).""</b>",FALSE,"Gisele, who lives alone, goes on vacation and leaves her car in her home garage. However, surveillance footage captures a masked assailant breaking into Gisele's car and stealing her briefcase, which contained her work laptop. Gisele files a claim with her insurance company for the loss. However, the insurance company denies Giseles' claim, arguing that the loss is not covered. ",female,briefcase not audio equipment,audio equipment,definition
Vehicle Theft,Vehicle Theft I,unambiguous_covered,"Gisele's car insurance policy includes coverage for ""Vehicle Theft,"" defined as  <b>loss or damage as a result of theft to the policy holder's car or audio equipment (while in or on the car).""</b>",FALSE,"Gisele, who lives alone, goes on vacation and leaves her car in her home garage. However, surveillance footage captures a masked assailant breaking into Gisele's car and stealing her car stereo.  Gisele files a claim with her insurance company for the loss. However, the insurance company denies Gisele's claim, arguing that the loss is not covered. ",female,car stereo definitely audio equipment,audio equipment,definition
Vehicle Theft,Vehicle Theft I,controversial,"Gisele's car insurance policy includes coverage for ""Vehicle Theft,"" defined as  <b>loss or damage as a result of theft to the policy holder's car or audio equipment (while in or on the car).""</b>",FALSE,"Gisele, who lives alone, goes on vacation and leaves her car in her home garage. However, surveillance footage captures a masked assailant breaking into Gisele's car and stealing her wireless Bluetooth headset. Gisele files a police report and a claim with her insurance company for her loss. However, the insurance company denies Gisele's claim, claiming the loss is not covered.",female,bluetooth headset maybe not audio equipment for purposes of policy,audio equipment,definition
Vehicle Fire,Vehicle Fire II,unambiguous_uncovered,"Gene's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>loss or damage as a result of fire to the policy holder's car or audio equipment (while in or on the car).""</b>",FALSE,"One day, Gene parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. Gene notices and manages to extinguish the fire before it totals the car, but not before the fire destroys several hundred dollars in bills that Gene left next to the phone. Gene files a claim with his insurance company for the loss. However, the insurance company denies Gene's claim, arguing that the loss is not covered. ",male,money not audio equipment,audio equipment,definition
Vehicle Fire,Vehicle Fire II,unambiguous_covered,"Gene's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>loss or damage as a result of fire to the policy holder's car or audio equipment (while in or on the car).""</b>",FALSE,"One day, Gene parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. Gene notices and manages to extinguish the fire before it totals the car, but not before the fire spreads to one of his car's stereo speakers, which was adjacent to the phone.  Gene files a claim with his insurance company for the loss. However, the insurance company denies Gene's claim, arguing that the loss is not covered. ",male,stereo speaker definitely audio equipment,audio equipment,definition
Vehicle Fire,Vehicle Fire II,controversial,"Gene's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>loss or damage as a result of fire to the policy holder's car or audio equipment (while in or on the car).""</b>",FALSE,"One day, Gene parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. Gene notices and manages to extinguish the fire before it totals the car, but not before the fire spreads to a portable Bluetooth speaker that Gene left next to the phone. Gene files a claim with his insurance company for the loss. However, the insurance company denies Gene's claim, arguing that the loss is not covered. ",male,bluetooth speaker maybe not audio equipment for purposes of policy,audio equipment,definition
Vehicle Fire,Vehicle Fire III,unambiguous_uncovered,"Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>",FALSE,"One day, Ken parks his car next to his home and leaves a smoldering cigarette butt in his car ashtray. The cigarette butt does not catch fire, but it causes significant smoke damage to the car's interior.  Ken files a claim with his insurance company for the damage. However, the insurance company denies Ken's claim, arguing that the damage is not covered. ",male,"no fire, just smoke, no coverage",fire damage,title
Vehicle Fire,Vehicle Fire III,unambiguous_covered,"Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>",FALSE,"One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage. However, the insurance company denies Ken's claim, arguing that the damage is not covered. ",male,"damage due to fire, def covered",fire damage,title
Vehicle Fire,Vehicle Fire III,controversial,"Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>",FALSE,"One day, Ken parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. The fire does not spread to the rest of the car, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage. However, the insurance company denies Ken's claim, arguing that the damage is not covered. ",male,"damage due to fire, but not fire damage?",fire damage,title
Vehicle Theft,Vehicle Theft IV,unambiguous_uncovered,"Hunter's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or car accessories (while in or on the car).""</b>",FALSE,"Hunter, who lives alone, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing several hundred dollars in bills that Hunter left in the car. Hunter files a claim with his insurance company for the loss. However, the insurance company denies Hunter's claim, arguing that the loss is not covered. ",male,bills not an accessory,accessory,definition
Vehicle Theft,Vehicle Theft IV,unambiguous_covered,"Hunter's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or car accessories (while in or on the car).""</b>",FALSE,"Hunter, who lives alone, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Hunter's very high-end seat covers. Hunter files a claim with his insurance company for the loss. However, the insurance company denies Hunter's claim, arguing that the loss is not covered. ",male,seat covers definitely an accessory,accessory,definition
Vehicle Theft,Vehicle Theft IV,controversial,"Hunter's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or car accessories (while in or on the car).""</b>",FALSE,"Hunter, who lives alone, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing a smartphone that Hunter leaves in the car for navigation and to play music. Hunter files a claim with his insurance company for the loss. However, the insurance company denies Hunter's claim, arguing that the loss is not covered. ",male,maybe an accessory?,accessory,definition
Vehicle Theft,Vehicle Theft V,unambiguous_uncovered,"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>",FALSE,"Dillon, who employs a part-time personal assistant, goes on vacation and leaves his car in his home garage. However, surveillance footage captures his personal assistant breaking into his car and driving away. Dillon files a claim with his insurance company for the loss. However, the insurance company denies Dillon's claim, arguing that the loss is not covered. ",male,robber = definitely covered,family or employee,exclusion
Vehicle Theft,Vehicle Theft V,unambiguous_covered,"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>",FALSE,"Dillon, who lives alone, goes on vacation and leaves his car in his home garage. However, surveillance footage captures an unfamiliar man breaking into his car and driving away. Dillon files a claim with his insurance company for the loss. However, the insurance company denies Dillon's claim, arguing that the loss is not covered. ",male,employee = not covered,family or employee,exclusion
Vehicle Theft,Vehicle Theft V,controversial,"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>",FALSE,"Dillon, who has been separated from his wife for over two years, goes to work one day and parks his car in the garage. However, surveillance footage captures his estranged wife breaking into his car and driving away. Dillon files a claim with his insurance company for the loss. However, the insurance company denies Dillon's claim, arguing that the loss is not covered. ",male,estranged wife = maybe covered?,family or employee,exclusion
Vehicle TheftVe,Vehicle Theft VI,unambiguous_uncovered,"Cooper's car insurance policy includes coverage for ""Vehicle Theft,"" which applies only if <b>""the policyholder's car contains a working GPS tracking device"".</b>",FALSE,"Cooper, who doesn't keep a GPS tracking device in his car, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and driving away. Cooper files a claim with his insurance company for the loss. However, the insurance company denies Cooper's claim, arguing that the loss is not covered. ",male,"Tracking device, definite coverage",tracking device,exclusion
