item,version,header,continuation
Public Liability Property Damage Settlement Basis ,controversial,"Dave has insurance that covers “the damages that you are legally liable to pay for accidental loss or damage to third party property, so long as the loss or damage happened during the period of insurance and was connected with your business.” The insurance policy also states ""We may not pay a claim, or reduce the amount, if you failed to take reasonable steps to prevent the loss from happening."""," One day, Dave is driving down the highway when the gas pedal gets stuck. Unfortunately, he collides with and damages a restaurant’s landscaping as he tries to get his vehicle under control. He is finally able to engage the parking brake and no one is hurt, but Dave is legally responsible for the damage. Dave decides that he will attempt to use his insurance coverage for the damages. However, the insurance disputes his claim, stating he did not do enough to prevent the loss from happening."
Vehicle Fire and Theft III,unambiguous_uncovered,"Ken’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.”","Ken goes to work one day and parks his car in a garage nearby. When he returns to the garage for lunch, finds his car has been broken into. Luckily, the only item missing is his favorite pair of sunglasses. Understanding that he is covered for accessory theft, Ken files a claim with his insurance to avoid paying out of pocket for a replacement. However, the insurance company refutes this and denies his claim."
Vehicle Fire and Theft III,unambigous_covered,"Ken’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.”","Ken goes to work one day and parks in the parking lot. Ken locks his doors, but later finds his windshield wipers have been taken off and gas has been siphoned. This is all corroborated by surveillance footage. Ken files a police report and a claim with his insurance since he understands he is covered for theft. However, the insurance company refutes this and denies his claim. "
Vehicle Fire and Theft III,controversial,"Ken’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.”","Ken goes to work one day and leaves his Samsung Galaxy Note 7 connected to the car. He goes into the office before returning to the parking lot for lunch. He realizes the interior of his car is filled with smoke. Ken realizes his Note 7 has caught on fire, and decides to file a claim with his insurance company, claiming both damage to the car and the loss of his smartphone. However, the insurance company denies Ken’s claim of both car and accessory, claiming he is uncovered."
Vehicle Fire and Theft IV,unambiguous_uncovered,"Hunter’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.”","Hunter goes to work one day and parks his car in a garage nearby. When he returns to the garage for lunch, finds his car has been broken into. Luckily, the only item missing is his backpack from the trunk. Understanding that he is covered for accessory theft, Hunter files a claim with his insurance to avoid paying out of pocket for a replacement. However, the insurance company refutes this and denies his claim."
Vehicle Fire and Theft IV,unambigous_covered,"Hunter’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.”"," Hunter goes to work one day and parks in the parking lot. Ken locks his doors, but later finds his tires have been taken off. Ken files a police report and a claim with his insurance since he understands he is covered for theft. However, the insurance company refutes this and denies his claim. "
Vehicle Fire and Theft IV,controversial,"Hunter’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.”","Hunter goes to work one day and is driving along a secluded road. He is suddenly approached by masked individuals who proceed to forcibly remove Hunter from the running vehicle and then drive off. Hunter files a police report and a claim with his insurance company for car theft. However, the insurance company denies Ken’s claim, claiming he is uncovered."
Vehicle Fire and Theft V,unambiguous_uncovered,"Dillon’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.”","Dillon goes to work one day and parks his car in a garage nearby. It rains all morning, and when he returns to the garage for lunch, he finds that the garage has flooded and his car is sitting in about 4 feet of water. The interior floor of his car is severely damaged. Understanding that he is covered for theft, Dillon files a claim with his insurance to avoid paying out of pocket for a replacement car. However, the insurance company refutes this and denies his claim."
Vehicle Fire and Theft V,unambigous_covered,"Dillon’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.”","Dillon goes to work one day and parks in the parking lot. Dillon goes to his office, but later finds his vehicle set ablaze by arsonists.  Dillon files a police report and a claim with his insurance since he understands he is covered for theft. However, the insurance company refutes this and denies his claim. "
Vehicle Fire and Theft V,controversial,"Dillon’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.”","Dillon goes to work one day and parks his car in the garage. However, surveillance footage captures Dillon’s ex-wife breaking into his car and driving away. Dillon files a police report and a claim with his insurance company for car theft. However, the insurance company denies Dillon’s claim, claiming he is uncovered."
Loss and Accidental Damage,unambiguous_uncovered,Vivian has insurance that covers “Loss or damage including accidental damage to you or your family’s contents while they are in the home or within the boundaries of the land belonging to the home or while temporarily removed anywhere in the world.” ," Vivian’s home is relatively old and in the countryside. She frequently also has power outages. One day, when Vivian is away on vacation, her home suffers from an electrical short circuit that damages many of the appliances in her kitchen. Remembering she has insurance, Vivian files a claim. However, her claim is denied when the insurance agency informs her that she is not covered for an electrical or mechanical malfunction. "
Loss and Accidental Damage,unambigous_covered,Vivian has insurance that covers “Loss or damage including accidental damage to you or your family’s contents while they are in the home or within the boundaries of the land belonging to the home or while temporarily removed anywhere in the world.” ,"Vivian’s home is relatively old and in the countryside. One day, when Vivian is away on vacation, her home suffers from an electrical short circuit that damages many of the appliances in her kitchen. This short-circuit causes a severe fire, damaging nearly her entire home. Remembering she has insurance, Vivian files a claim. However, her claim is denied when the insurance agency informs her that she is not covered."
Loss and Accidental Damage,controversial,Vivian has insurance that covers “Loss or damage including accidental damage to you or your family’s contents while they are in the home or within the boundaries of the land belonging to the home or while temporarily removed anywhere in the world.” ,"Vivian’s home is relatively old and in the countryside. One day, when Vivian is away on vacation, her security camera captures two individuals breaking  into her home, who begin stealing her kitchen appliances. However, in the middle of the theft, an electrical short-circuit cuts the security camera footage.  She calls the police and they begin an investigation.  Remembering she has insurance, Vivian files a claim. However, her claim is denied when the insurance agency informs her that she is not covered."
Emergency Damage,unambiguous_uncovered,"Rodney’s insurance covers “emergency damages” defined as ”Loss or damage to the contents caused when the fire, police or ambulance service has to force an entry to the buildings because of an emergency or perceived emergency involving you or your family.”","One day, Rodney arrives home from work and is watching TV. Suddenly, his apartment’s doorman bursts through his door, destroying it. The doorman was responding to a disturbance but entered the wrong apartment. Regardless, his door had been damaged when the security team had forcefully entered his home. Remembering his insurance coverage, Rodney files a claim. However, the insurer disputes his claim and states he is uncovered. "
Emergency Damage,unambigous_covered,"Rodney’s insurance covers “emergency damages” defined as ”Loss or damage to the contents caused when the fire, police or ambulance service has to force an entry to the buildings because of an emergency or perceived emergency involving you or your family.”","One day, Rodney arrives home from work and is watching TV. The program he is watching is very loud, and involves loud arguments and death threats between characters. Rodney’s neighbor mistakenly thinks that it isRodney is arguing with and threatening his partner, not TV characters, and decides to call the police to respond to the disturbance. Suddenly, police officers burst through Rodney’s door, destroying it.Remembering his insurance coverage, Rodney files a claim. However, the insurer disputes his claim, and states he is uncovered. "
Emergency Damage,controversial,"Rodney’s insurance covers “emergency damages” defined as ”Loss or damage to the contents caused when the fire, police or ambulance service has to force an entry to the buildings because of an emergency or perceived emergency involving you or your family.”","One day, Rodney arrives home from work and is watching TV. Suddenly, the police burst through his door, destroying it. The police department was responding to a disturbance but entered the wrong apartment. Regardless, his door was damaged when the police forcefully entered his home. Remembering his insurance coverage, Rodney files a claim. However, the insurer disputes his claim and states he is uncovered. "
Emergency Damage II,unambiguous_uncovered,"Adrian’s insurance covers “emergency damages” defined as ”Loss or damage to the contents caused when the fire, police or ambulance service has to force an entry to the buildings because of an emergency or perceived emergency involving you or your family.”","One day, Adrian is at work when he gets an alert on his phone. His home security system captures footage of an intruder attempting to break into his home. He dials his neighbor to check on his home, who arrives at the scene and forcefully enters the home to search. Fortunately, the suspect was gone, and the police later detain the suspect a few streets over. Remembering his insurance coverage, Adrain files a claim to repair the damage caused by his neighbor’s entry. However, the insurer disputes his claim and states he is uncovered. "
Emergency Damage II,unambigous_covered,"Adrian’s insurance covers “emergency damages” defined as ”Loss or damage to the contents caused when the fire, police or ambulance service has to force an entry to the buildings because of an emergency or perceived emergency involving you or your family.”","One day, Adrian is at work when he gets an alert on his phone. His home security system captures footage of an intruder attempting to break into his home. He dials the police who arrive at the scene and forcefully enter the home to search. Fortunately, they catch the suspect a few streets over, who was ultimately unsuccessful in breaking into Adrian’s home. Remembering his insurance coverage, Adrain files a claim to repair the damage caused by the police’s entry. However, the insurer disputes his claim and states he is uncovered. "
Emergency Damage II ,controversial,"Adrian’s insurance covers “emergency damages” defined as ”Loss or damage to the contents caused when the fire, police or ambulance service has to force an entry to the buildings because of an emergency or perceived emergency involving you or your family.”","One day, Adrain is at work when he gets an alert on his phone. His home security system captures footage of an intruder breaking into his home. He dials the police who arrive at the scene and discover the suspect entered through a partially broken window. The police then completely destroy the window to enter. Fortunately, they catch the suspect.  Remembering his insurance coverage, Adrian files a claim to repair the damage to both the door and the window However, the insurer disputes his claim and states he is uncovered. "
House Removal,unambiguous_uncovered,"Phil’s insurance covers “house removal,” which is defined as “Accidental loss or damage to contents caused while being removed by professional removal contractors, from the home including storage for up to 60 days if it forms part of the period of the move to any new private residence within the United Kingdom or the Channel Islands or the Isle of Man.”","Phil is moving to a new home on the other side of his town. To save costs, he rents a U-Haul and decides he will move his own belongings out of his home. However, His U-Haul is involved a minor accident that damages several of his furniture items and other belongings. Remembering his insurance policy, he files a claim. However, his insurances denies his claim and states he is uncovered."
House Removal ,unambigous_covered,"Phil’s insurance covers “house removal,” which is defined as “Accidental loss or damage to contents caused while being removed by professional removal contractors, from the home including storage for up to 60 days if it forms part of the period of the move to any new private residence within the United Kingdom or the Channel Islands or the Isle of Man.”"," Phil is moving to a new home on the other side of his town. For ease, he pays a moving company to move his belongings out of his home. However, the moving truck is involved in a minor accident that damages several of his furniture items and other belongings. Remembering his insurance policy, he files a claim. However, his insurance denies his claim and states he is uncovered."
House Removal ,controversial,"Phil’s insurance covers “house removal,” which is defined as “Accidental loss or damage to contents caused while being removed by professional removal contractors, from the home including storage for up to 60 days if it forms part of the period of the move to any new private residence within the United Kingdom or the Channel Islands or the Isle of Man.”","Phil is moving to a new home on the other side of his town. For ease, he pays a moving company to move his belongings out of his home. However, the moving truck is involved in a minor accident that damages several of his furniture items. Phil notably has a table with a porcelain top. Remembering his insurance policy, he files a claim. However, his insurance denies his claim and states the table is uncovered."
House Removal II ,unambiguous_uncovered,"Neil’s insurance covers “house removal,” which is defined as “Accidental loss or damage to contents caused while being removed by professional removal contractors, from the home including storage for up to 60 days if it forms part of the period of the move to any new private residence within the United Kingdom or the Channel Islands or the Isle of Man.”","Niel is moving to a new home on the other side of his town. To save costs, pays his aunt and uncle to help move his belongings over. However, When he is unpacking his belongings at his new home, several of the contents are damaged. Remembering his insurance policy, he files a claim. However, his insurance denies his claim and states he is uncovered."
House Removal II ,unambigous_covered,"Neil’s insurance covers “house removal,” which is defined as “Accidental loss or damage to contents caused while being removed by professional removal contractors, from the home including storage for up to 60 days if it forms part of the period of the move to any new private residence within the United Kingdom or the Channel Islands or the Isle of Man.”","Niel is moving to a new home on the other side of his town. To save costs, he hires professional movers for the job. However, When they are packing up Neil’s belongings at his old home, several of the contents are damaged. Remembering his insurance policy, he files a claim. However, his insurance denies his claim and states he is uncovered."
House Removal II ,controversial,"Neil’s insurance covers “house removal,” which is defined as “Accidental loss or damage to contents caused while being removed by professional removal contractors, from the home including storage for up to 60 days if it forms part of the period of the move to any new private residence within the United Kingdom or the Channel Islands or the Isle of Man.”","Niel is moving to a new home on the other side of his town. To save costs, he hires professional movers for the job. However, When the movers are unpacking his belongings at his new home, some of his belongings are damaged. Remembering his insurance policy, he files a claim. However, his insurance denies his claim and states that jewelry is uncovered."
Trace and Access ,unambiguous_uncovered,"Justin has insurance that covers “Trace and Access”, defined as “for any one claim for necessary and reasonable costs that you incur in finding the source of damage to the home caused by: 1) escape of water from a fixed water drainage or heating installation, 2) escape of oil from a fixed oil fired heating Installation, or 3) accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from the home for which you are responsible. This is covered unless the piping and or its design is inherently defective.”","Justin moves into his new home and purchases this insurance policy. However, some of the cables running beneath his home that provide fiber optic connectivity services are defective, unbeknownst to Justin. One day, Justin discovers this defect due to consistent lack of connectivity services. Justin decides to file a claim. However, his insurance disputes his claim and tells him defective cables are not covered."
Trace and Access ,unambigous_covered,"Justin has insurance that covers “Trace and Access”, defined as “for any one claim for necessary and reasonable costs that you incur in finding the source of damage to the home caused by: 1) escape of water from a fixed water drainage or heating installation, 2) escape of oil from a fixed oil fired heating Installation, or 3) accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from the home for which you are responsible. This is covered unless the piping and or its design is inherently defective.”","Justin has cables running beneath his home to provide fiber optic connectivity services. When Justin hires a landscaper to improve his yard, the landscaper accidentally cuts the cable. Justin, remembering his insurance, files a claim. However, the insurance company disputes the claim, stating he is uncovered."
Trace and Access ,controversial,"Justin has insurance that covers “Trace and Access”, defined as “for any one claim for necessary and reasonable costs that you incur in finding the source of damage to the home caused by: 1) escape of water from a fixed water drainage or heating installation, 2) escape of oil from a fixed oil fired heating Installation, or 3) accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from the home for which you are responsible. This is covered unless the piping and or its design is inherently defective.”","Justin has cables running beneath his home to provide fiber optic connectivity services. He also has piping that runs concurrently with the cables. Unbeknownst to Justin, the piping had a design flaw that caused it to swell, but not burst under high loads. As the pipes swell, the cables become damaged. Justin documents this and files a claim to repair his fiber optic cables.  However, the insurance company disputes the claim, stating he is uncovered."
Garden Plants,unambiguous_uncovered,"Genie has insurance that covers “garden plants” defined as “damage to plants, bushes, shrubs and trees in the open within the boundaries of the land belonging to the home caused by: 1 fire, smoke, explosion, lightning or Earthquake 2 theft or attempted theft 3 malicious people or vandals 4 riot, civil commotion, strikes, labor and political disturbances.”","Genie lives in a relatively temperate area with hot and cold cycles. As her flowers bloom in the spring they quickly die off in the winter. Seeing the opportunity of a payout with the insurance she purchased, she files a claim for her dead plants. When the insurer reviews her claim, however, they inform her that she is uncovered."
Garden Plants ,unambigous_covered,"Genie has insurance that covers “garden plants” defined as “damage to plants, bushes, shrubs and trees in the open within the boundaries of the land belonging to the home caused by: 1 fire, smoke, explosion, lightning or Earthquake 2 theft or attempted theft 3 malicious people or vandals 4 riot, civil commotion, strikes, labor and political disturbances.”","Genie lives in the country and she has a small garden in the front of her yard. One day, she is about to water her plants when she sees dark gray clouds above her. Realizing that it is about to rain, she goes inside to relax and let the rain take care of her flowers. As the rain falls, she observes lightning strike directly in her yard, starting a small fire and charring her plants. She decides to file a claim. However, when the insurer reviews her incident, they deny her coverage."
Garden Plants ,controversial,"Genie has insurance that covers “garden plants” defined as “damage to plants, bushes, shrubs and trees in the open within the boundaries of the land belonging to the home caused by: 1 fire, smoke, explosion, lightning or Earthquake 2 theft or attempted theft 3 malicious people or vandals 4 riot, civil commotion, strikes, labor and political disturbances.”"," Genie enjoys maintaining her small garden in her front yard. She lives in a dry suburb that gets little rainfall. One Summer, however, the city council where she lives employs a water curtailment notice due to the drought. Genie can no longer water her prized plants. She decides to file a claim with her insurance, citing a political disturbance. However, when the insurer reviews her claim, they deny her coverage."
Garden Plants II ,unambiguous_uncovered,"Margot has insurance that covers “garden plants” defined as “damage to plants, bushes, shrubs and trees in the open within the boundaries of the land belonging to the home caused by: 1 fire, smoke, explosion, lightning or Earthquake 2 theft or attempted theft 3 malicious people or vandals 4 riot, civil commotion, strikes, labor and political disturbances.”","Margot lives in a relatively temperate area with hot and cold cycles. Seeing the opportunity of a payout with the insurance she purchased, Margot decides to rid her plants so she can do some landscaping. She excavates her entire garden and explains to the insurer that thieves had stolen her plants. However, upon investigation, the insurer denies her claim, stating that she is uncovered."
Garden Plants II ,unambigous_covered,"Margot has insurance that covers “garden plants” defined as “damage to plants, bushes, shrubs and trees in the open within the boundaries of the land belonging to the home caused by: 1 fire, smoke, explosion, lightning or Earthquake 2 theft or attempted theft 3 malicious people or vandals 4 riot, civil commotion, strikes, labor and political disturbances.”","Margot lives in the country and she has a small garden in the front of her yard. One day, she is tending to her garden and admiring the flowers that she had planted. She recently bought rare flower seeds and is very proud of how they have bloomed. Unfortunately, as she is away for work the next day, her surveillance footage captures individuals destroying her plants. She decides to file a claim. However, when the insurer reviews her incident, they deny her coverage."
Garden Plants II ,controversial,"Margot has insurance that covers “garden plants” defined as “damage to plants, bushes, shrubs and trees in the open within the boundaries of the land belonging to the home caused by: 1 fire, smoke, explosion, lightning or Earthquake 2 theft or attempted theft 3 malicious people or vandals 4 riot, civil commotion, strikes, labor and political disturbances.”","Margot enjoys maintaining her small garden in her front yard. l. Margot is about to water her plants one evening when she suddenly feels the ground shake. She understands that an earthquake is poised to strike as she runs for cover. Suddenly, a powerline crashes onto her hard and crushes her plants. Luckily, that is the extent of the damage and no one is hurt. She decides to file a claim with her insurance, citing an earthquake. However, when the insurer reviews her claim, they deny her coverage."
Identity Theft,unambiguous_uncovered,"Jason has insurance coverage against “Identity Theft” defined as “If you or your family become aware of identity theft we agree to pay up to £50,000 for: 1, reasonable legal costs you or your family pay to defend a claim from a financial institution issuing the payment card and 2, ancillary costs.”"," Jason is a manager of a data analytics company that handles sensitive information, including his own. As Jason works at this firm, he becomes aware of a breach made in the company’s logs. Much of the data includes identity information and the breach is traced to someone working for the company. Jason decides to file suit against his own company and creates a claim with his insurance. However, he is denied coverage as the insurer informs him that damages related to occupation are uncovered. "
Identity Theft,unambigous_covered,"Jason has insurance coverage against “Identity Theft” defined as “If you or your family become aware of identity theft we agree to pay up to £50,000 for: 1, reasonable legal costs you or your family pay to defend a claim from a financial institution issuing the payment card and 2, ancillary costs.”","Jason entrusts a third party company to monitor his identity to ensure his information is not stolen and sold on the dark web. One weekend, Jason is made aware that his identity has been used to create false bank accounts and siphon funds. Jason decides he needs to file suit to retain his credit score and remembers his insurance policy can help cover legal fees. However, he is denied coverage as the insurer informs him that he is uncovered. "
Identity Theft ,controversial,"Jason has insurance coverage against “Identity Theft” defined as “If you or your family become aware of identity theft we agree to pay up to £50,000 for: 1, reasonable legal costs you or your family pay to defend a claim from a financial institution issuing the payment card and 2, ancillary costs.”"," Jason entrusts a third party company to monitor his identity to ensure his information is not stolen and sold on the dark web. One weekend, Jason is made aware that his identity has been used to create false bank accounts and siphon funds. Jason decides he needs to file suit to retain his credit score and remembers his insurance policy can help cover legal fees. His legal case is not a guaranteed win, as there are situations without evidence. When he files a claim, however, he is denied coverage as the insurer informs him that they believe Jason’s does not have a reasonable prospect of success in his case."
Flood ,unambiguous_uncovered,"Jerry has insurance that covers “flooding” to his building, defined as “An invasion of the property by a large volume of water caused by a rapid build-up or sudden release from outside the buildings.”","One afternoon, Jerry is watering his garden when he notices that the hose is spewing water erratically. There are periods of high pressure and low pressure as Jerry remains perplexed. Suddenly, he hears a loud crashing sound coming from his backyard. He discovers that a pipe has burst, spewing water almost to ankle height around the backyard and damaging his fence. The water is eventually too absorbed by the grass, but Jerry needs to repair his fence. To pay for the damages, Jerry files a claim with his insurance. However, when they review his claim, they deny his coverage after informing him that fences are not covered. "
Flood ,unambigous_covered,"Jerry has insurance that covers “flooding” to his building, defined as “An invasion of the property by a large volume of water caused by a rapid build-up or sudden release from outside the buildings.”","One afternoon, Jerry is watering his garden when he notices that the hose is spewing water erratically. There are periods of high pressure and low pressure as Jerry remains perplexed. Suddenly, he hears a loud crashing sound in the street. He runs inside to his basement where he sees that the drainage valve from the street has been compromised and is flooding. Jerry is able to stop the water but only until is almost knee height. To pay for the damages, Jerry files a claim with his insurance. However, when they review his claim, they deny him coverage."
Flood ,controversial,"Jerry has insurance that covers “flooding” to his building, defined as “An invasion of the property by a large volume of water caused by a rapid build-up or sudden release from outside the buildings.”"," Jerry lives on a farm that has an irrigation system. The irrigation system is protected by a large water sealed gate that prevents the farm from flooding. One evening, the irrigation gate breaks and the farm is flooded. To compensate for the damages, Jerry decides to file a claim with his insurance, primarily for the expensive water sealing gate. When the insurance company reviews Jerry’s claim however, they refuse to compensate for the damages.  "
Flood II ,unambiguous_uncovered,"Larry has insurance that covers “flooding” to his building, defined as “An invasion of the property by a large volume of water caused by a rapid build-up or sudden release from outside the buildings.”"," One afternoon, Larry is driving home from work when he hears a troubling announcement on the radio. A major storm is coming through the area where he lives and is expected to bring torrential rainfall. There is also a high chance of flooding. Larry makes necessary preparations to his home for the storm. The storm actually passes his town, but Larry has a problem nonetheless. He has accidentally left a bathtub faucet and is now flooding his home. To pay for the damages, Larry files a claim with his insurance. However, when they review his claim, they deny him coverage."
Flood II ,unambigous_covered,"Larry has insurance that covers “flooding” to his building, defined as “An invasion of the property by a large volume of water caused by a rapid build-up or sudden release from outside the buildings.”","One afternoon, Larry is driving home from work when he hears a troubling announcement on the radio. A major storm is coming through the area where he lives and is expected to bring torrential rainfall. There is also a high chance of flooding. Larry makes necessary preparations to his home for the storm. However, as the rain continues to pour, his home starts to take in water. By the end of the storm, Larry realizes that his home has suffered major damage to its electrical systems. To pay for the damages, Larry files a claim with his insurance. However, when they review his claim, they deny his coverage after informing him that fences are not covered. "
Flood II ,controversial,"Larry has insurance that covers “flooding” to his building, defined as “An invasion of the property by a large volume of water caused by a rapid build-up or sudden release from outside the buildings.”","One afternoon, Larry is driving home from work when he hears a troubling announcement on the radio. A major storm is coming through the area where he lives and is expected to bring torrential rainfall. There is also a high chance of flooding. Larry makes necessary preparations to his home for the storm. However, as the rain continues to pour, his home is safe from the flooding. However, Larry’s fence in his front yard is washed away by flash flooding in the street. To pay for the damages, Larry files a claim with his insurance. However, when they review his claim, they deny his coverage after informing him that fences are not covered. "
Escape of Oil ,unambiguous_uncovered,"Aaron has insurance that covers “escape of oil”, defined as “Oil leaking from or freezing in a fixed oil-fired heating installation, including smoke and smudge damage by vaporization due to a defective oil-fired heating installation and damage to soil caused by the leaking oil.”","Aaron has moved into a home that is relatively old. There are a few maintenance issues to address but he is still able to live in the home comfortably. One afternoon, when he is carrying kerosene oil into his garage, he slips and spills the oil onto the hardwood in his kitchen, damaging the floors. To repair the leak and pay for the cost of the cleanup, Aaron files a claim. However, after review, the insurance denies his claim and informs him he is uncovered. "
Escape of Oil ,unambigous_covered,"Aaron has insurance that covers “escape of oil”, defined as “Oil leaking from or freezing in a fixed oil-fired heating installation, including smoke and smudge damage by vaporization due to a defective oil-fired heating installation and damage to soil caused by the leaking oil.”","Aaron has moved into a home that is relatively old. There are a few maintenance issues to address but he is still able to live in the home comfortably. One afternoon, he smells something odd coming from one of the walls. Thinking his home is suffering from an oil leak, he calls a plumber to inspect. To trace the leak, a wall must be breached. To pay for the damage, Aaron files a claim. Unfortunately, the insurance company denies his claim, stating he is uncovered"
Escape of Oil ,controversial,"Aaron has insurance that covers “escape of oil”, defined as “Oil leaking from or freezing in a fixed oil-fired heating installation, including smoke and smudge damage by vaporization due to a defective oil-fired heating installation and damage to soil caused by the leaking oil.”","Aaron has moved into a home that is relatively old. There are a few maintenance issues to address but he is still able to live in the home comfortably. One afternoon, he smells something odd coming from one of the walls. Thinking his home is suffering from an oil leak, he calls a plumber to inspect. To trace the leak, a wall must be breached. To pay for the damage, Aaron files a claim. Unfortunately, the insurance company denies his claim, stating he is uncovered"
Escape of Oil II ,unambiguous_uncovered,"Ferris has insurance that covers “escape of oil”, defined as “Oil leaking from or freezing in a fixed oil-fired heating installation, including smoke and smudge damage by vaporization due to a defective oil-fired heating installation and damage to soil caused by the leaking oil.”","Ferris is in the middle of remodeling his rental property. Ferris’s main business model is to refurbish homes and sell them at a higher price than he bought it for. As he is trying to keep costs low, Ferris decides that he will intentionally puncture an oil line in his home to raise money for a complete oil delivery system. When he files a claim with his insurance, they deny his claim, citing fraud. "
Escape of Oil II ,unambigous_covered,"Ferris has insurance that covers “escape of oil”, defined as “Oil leaking from or freezing in a fixed oil-fired heating installation, including smoke and smudge damage by vaporization due to a defective oil-fired heating installation and damage to soil caused by the leaking oil.”","Ferris is in the middle of remodeling his rental property. Ferris’s main business model is to refurbish homes and sell them at a higher price than he bought it for. He is inspecting the property one day and realizes the oil delivery system to a heating installation has been damaged and leaking oil. To repair the damage, Ferris files a claim with his insurance. However, the insurance company refuses to compensate for the damages, claiming he is uncovered.  "
Escape of Oil II ,controversial,"Ferris has insurance that covers “escape of oil”, defined as “Oil leaking from or freezing in a fixed oil-fired heating installation, including smoke and smudge damage by vaporization due to a defective oil-fired heating installation and damage to soil caused by the leaking oil.”"," Ferris is in the middle of remodeling his rental property. Ferris’s main business model is to refurbish homes and sell them at a higher price than he bought it for. He is breaking down walls one day and accidentally punctures an oil line for the internal heating unit. To repair the damage, Ferris files a claim with his insurance. However, the insurance company refuses to compensate for the damages, claiming he is uncovered. "
"Fire, Explosion, Earthquake, and Smoke ",unambiguous_uncovered,"Trevor has insurance that covers fire, explosion, earthquake, and smoke for his building. ","Trevor lives in a high risk area for wildfires. Trevor has this insurance policy for his home in the mountains surrounded by a large forest. Fires have been rare in the past, but a particularly dry season has increased the risk of a fire significantly. Remembering his insurance, Trevor figures that if a wildfire were to start in his backyard that ended up damaging his home, he would get a nice payout to remodel his house. He decides to start a small fire in the dry grass in his backyard, which does damage his house, but is thankfully contained by firefighters. He files an insurance claim, however, they refuse to compensate him for the damages."
"Fire, Explosion, Earthquake, and Smoke ",unambigous_covered,"Trevor has insurance that covers fire, explosion, earthquake, and smoke for his building. ","Trevor lives in a high risk area for wildfires. Trevor has this insurance policy for his home in the mountains surrounded by a large forest. Fires have been rare in the past, but a particularly dry season has increased the risk of a fire significantly. One Summer day, Trevor is alerted that a wildfire has started in his area and that he must evacuate immediately. He does so, and eventually the fire is contained and extinguished. Unfortunately, Trevor’s home is severely damaged. He files an insurance claim, however, they refuse to compensate him for the damages."
"Fire, Explosion, Earthquake, and Smoke ",controversial,"Trevor has insurance that covers fire, explosion, earthquake, and smoke for his building. ","Trevor lives in a high risk area for wildfires. Trevor has this insurance policy for his home in the mountains surrounded by a large forest. Fires have been rare in the past, but a particularly dry season has increased the risk of a fire significantly. One Summer day, Trevor is alerted that a wildfire has started in his area and that he must evacuate immediately. He does so, and eventually the fire is contained and extinguished. Unfortunately, Trevor’s home is severely damaged by long term smoke exposure. Many of his fixings and ventilation systems are clogged with soot and smoke. He files an insurance claim, however, they refuse to compensate him for the damages. "
Malicious Acts or Vandalism ,unambiguous_uncovered,Olivia has insurance that covers malicious acts of vandalism. ,"Olivia lives in a very quiet neighborhood at the edge of town. Her home is relatively modern and also kept in a good state. Olivia, however, is wanting to remodel the exterior of the home with a new coat of paint. She has interest in selling her home, and a facelift would increase the overall value of the property. One day, she decides to vandalize several exterior walls around her home in hopes of gaining a monetary payment from the insurance. She files a claim, however, they deny her compensation stating she is liable for this type of damage.  "
Malicious Acts or Vandalism ,unambigous_covered,Olivia has insurance that covers malicious acts of vandalism. ,"Olivia lives in a very quiet neighborhood at the edge of town. Her home is relatively modern and also kept in a good state. It is around Halloween one year when she is giving out candy to trick or treaters. She unfortunately runs out of candy, and she reluctantly has to turn away trick or treaters. She noted one specific interaction that the individuals on her porch were visibly upset. When she wakes up the next morning, she notices her property has been vandalized on the outside. She files a claim, however, they deny her compensation stating she is liable for this type of damage.  "
