title,version,nYes,nNo,nCantDecide,propYes,propNo,propCantDecide,item,header,continuation
House Removal II,unambiguous_uncovered,1,18,1,0.05,0.9,0.05,House Removal,"Harper's insurance covers damage from ""House Removal,"" which includes <b>""damage to belongings that occurs while being stored by professional removal contractors.""</b>","Harper is moving to a new home on the other side of town. Because her old home has already sold and her new home is not yet ready for her to move in, she checks into a hotel and asks her cousin Bill to store some of her belongings at his house. A couple days before she is set to move in, Bill's house floods, which ruins the items that Bill was storing for Harper. Harper files a claim with her insurance company for the damage to her belongings."
Identity Theft I,controversial,14,6,2,0.6363636363636364,0.2727272727272727,0.09090909090909091,Identity Theft,"Jason has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's business.""</b>","Jason is a successful car salesman. One day, while Jason is at home, hackers manage to infiltrate Jason's work laptop via his home WiFi network. The hackers steal Jason's social security number and open a number of fraudulent lines of credit in his name. To resolve the fraud, Jason must spend thousands of dollars in legal fees. Jason files a claim with his insurance company for his losses."
Identity Theft I,unambiguous_covered,20,10,1,0.6451612903225806,0.3225806451612903,0.03225806451612903,Identity Theft,"Jason has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's business.""</b>","Jason is a successful car salesman. One day, while Jason is at home, hackers manage to infiltrate Jason's home WiFi network. The hackers steal Jason's social security number and open a number of fraudulent lines of credit in his name. To resolve the fraud, Jason must spend thousands of dollars in legal fees. Jason files a claim with his insurance company for his losses."
Identity Theft I,unambiguous_uncovered,13,10,0,0.5652173913043478,0.43478260869565216,0,Identity Theft,"Jason has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's business.""</b>","Jason is a successful car salesman. One day, while Jason is at home, hackers manage to infiltrate the computer network at Jason's car dealership. The hackers steal Jason's social security number and open a number of fraudulent lines of credit in his name. To resolve the fraud, Jason must spend thousands of dollars in legal fees. Jason files a claim with his insurance company for his losses."
Identity Theft II,controversial,16,11,4,0.5161290322580645,0.3548387096774194,0.12903225806451613,Identity Theft,"Jack has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's occupation.""</b>","Jack is a successful business consultant. One day, while Jack is at home, hackers manage to infiltrate the computer network of an upscale restaurant where Jack and his colleagues frequently conduct meetings. The hackers steal Jack's credit card information and make a number of fraudulent purchases in his name. To resolve the fraud, Jack must spend thousands of dollars in legal fees. Jack files a claim with his insurance company for his losses."
Identity Theft II,unambiguous_covered,19,6,0,0.76,0.24,0,Identity Theft,"Jack has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's occupation.""</b>","Jack is a successful business consultant. One day, while Jack is at home, hackers manage to infiltrate Jack's home WiFi network. The hackers steal Jack's credit card information and make a number of fraudulent purchases in his name. To resolve the fraud, Jack must spend thousands of dollars in legal fees. Jack files a claim with his insurance company for his losses."
Identity Theft II,unambiguous_uncovered,17,8,2,0.6296296296296297,0.2962962962962963,0.07407407407407407,Identity Theft,"Jack has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's occupation.""</b>","Jack is a successful business consultant. One day, while Jack is at home, hackers manage to infiltrate the computer network at Jack's office. The hackers steal Jack's credit card information and make a number of fraudulent purchases in his name. To resolve the fraud, Jack must spend thousands of dollars in legal fees. Jack files a claim with his insurance company for his losses."
Loss and Accidental Damage,controversial,20,14,3,0.5405405405405406,0.3783783783783784,0.08108108108108109,Loss and Accidental Damage,"Vivian has home insurance for ""Loss and Accidental Damage,"" which only applies if the damage occurs <b>""while temporarily away from home anywhere in the world.""</b>","Vivian lives alone in a single-family house in the suburbs. She decides to move abroad, but she keeps the deed to her house because she intends to move back one day. While abroad, her house suffers from an electrical short circuit that causes a severe fire, damaging nearly the entire home. Vivian files a claim with her insurance company for the damages."
Loss and Accidental Damage,unambiguous_covered,22,0,0,1,0,0,Loss and Accidental Damage,"Vivian has home insurance for ""Loss and Accidental Damage,"" which only applies if the damage occurs <b>""while temporarily away from home anywhere in the world.""</b>","Vivian lives alone in a single-family house in the suburbs. She decides to take a vacation abroad, and her house is completely vacant while she's away. While abroad, her house suffers from an electrical short circuit that causes a severe fire, damaging nearly the entire home. Vivian files a claim with her insurance company for the damages."
Loss and Accidental Damage,unambiguous_uncovered,6,25,1,0.1875,0.78125,0.03125,Loss and Accidental Damage,"Vivian has home insurance for ""Loss and Accidental Damage,"" which only applies if the damage occurs <b>""while temporarily away from home anywhere in the world.""</b>","Vivian lives alone in a single-family house in the suburbs. She decides to permanently move abroad, but she keeps the deed to her house so that her children can inherit it one day. While abroad, her house suffers from an electrical short circuit that causes a severe fire, damaging nearly the entire home. Vivian files a claim with her insurance company for the damages."
Malicious Acts or Vandalism I,controversial,17,13,3,0.5151515151515151,0.3939393939393939,0.09090909090909091,Malicious Acts or Vandalism,"Olivia has home insurance that covers damage from ""Malicious Acts or Vandalism,"" defined as <b>""actions involving deliberate destruction or damage to the policyholder's property.""</b>","Olivia lives in a very quiet neighborhood at the edge of town. One day, a group of reckless teenagers crash their car into several bags' worth of garbage in front of Olivia's house while driving almost double the speed limit, littering her property with debris and costing her hundreds of dollars in cleanup expenses. Olivia files a claim with her insurance company for the damages."
Malicious Acts or Vandalism I,unambiguous_covered,25,4,3,0.78125,0.125,0.09375,Malicious Acts or Vandalism,"Olivia has home insurance that covers damage from ""Malicious Acts or Vandalism,"" defined as <b>""actions involving deliberate destruction or damage to the policyholder's property.""</b>","Olivia lives in a very quiet neighborhood at the edge of town. One day, a group of teenagers spread several bags' worth of garbage in front of Olivia's house as a prank, littering her property with debris and costing her hundreds of dollars in cleanup expenses. Olivia files a claim with her insurance company for the damages."
Malicious Acts or Vandalism I,unambiguous_uncovered,1,24,1,0.038461538461538464,0.9230769230769231,0.038461538461538464,Malicious Acts or Vandalism,"Olivia has home insurance that covers damage from ""Malicious Acts or Vandalism,"" defined as <b>""actions involving deliberate destruction or damage to the policyholder's property.""</b>","Olivia lives in a very quiet neighborhood at the edge of town. One day, a garbage truck accidentally topples over in front of Olivia's house, littering her property with debris and costing her hundreds of dollars in cleanup expenses. Olivia files a claim with her insurance company for the damages."
Malicious Acts or Vandalism II,controversial,17,7,2,0.6538461538461539,0.2692307692307692,0.07692307692307693,Malicious Acts or Vandalism,"Beth has home insurance that covers losses from ""Malicious Acts or Vandalism,"" defined as <b>""costs associated with repairing deliberate damage to the policyholder's property made by an adverse third party.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day,  she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that her estranged young adult son spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages."
Malicious Acts or Vandalism II,unambiguous_covered,30,0,1,0.967741935483871,0,0.03225806451612903,Malicious Acts or Vandalism,"Beth has home insurance that covers losses from ""Malicious Acts or Vandalism,"" defined as <b>""costs associated with repairing deliberate damage to the policyholder's property made by an adverse third party.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day,  she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of neighborhood teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages."
Malicious Acts or Vandalism II,unambiguous_uncovered,1,24,2,0.037037037037037035,0.8888888888888888,0.07407407407407407,Malicious Acts or Vandalism,"Beth has home insurance that covers losses from ""Malicious Acts or Vandalism,"" defined as <b>""costs associated with repairing deliberate damage to the policyholder's property made by an adverse third party.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day,  she sees that an exterior wall of her house is covered with drawings made in permanent marker. She reviews her home surveillance footage and sees that it was her children who drew on the wall. She hires professional painters to paint over the drawing. Beth files a claim with her insurance company for the damages."
Personal Accident I,controversial,13,20,0,0.3939393939393939,0.6060606060606061,0,Personal Accident,"Gwen's car insurance policy includes coverage for damages stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in your car.""</b>","One day, Gwen drives her SUV to the grocery store. After she parks the car, she injures her wrist when she opens her driver-side door into an oncoming car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages."
Personal Accident I,unambiguous_covered,26,0,1,0.9629629629629629,0,0.037037037037037035,Personal Accident,"Gwen's car insurance policy includes coverage for damages stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in your car.""</b>","One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages."
Personal Accident I,unambiguous_uncovered,1,23,1,0.04,0.92,0.04,Personal Accident,"Gwen's car insurance policy includes coverage for damages stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in your car.""</b>","One day, Gwen drives her SUV to the grocery store. After buying groceries, she injures her wrist when she lifts a heavy grocery bag into her car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages."
Personal Accident II,controversial,17,6,1,0.7083333333333334,0.25,0.041666666666666664,Personal Accidents,"Penelope's car insurance policy includes coverage for up to three months of lost income stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in or getting into or out of your car, resulting in permanent and total loss of use of one or more limbs.""</b>","Penelope is a personal trainer, and on weekends she often goes camping. One day, she is injured in a car crash that occurs while she is driving to a campsite. The doctor informs her that after the accident, she will regain full functionality in her left knee if she commits to expensive physical therapy for three months. Penelope is unable to afford the recovery program, so she never regains use of her knee. She then files a claim with her insurance company for three months' worth of lost income."
Personal Accident II,unambiguous_covered,31,1,0,0.96875,0.03125,0,Personal Accidents,"Penelope's car insurance policy includes coverage for up to three months of lost income stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in or getting into or out of your car, resulting in permanent and total loss of use of one or more limbs.""</b>","Penelope is a personal trainer, and on weekends she often goes camping. One day, she is injured in a car crash that occurs while she is driving to a campsite. The doctor informs her that after the accident, she will never regain functionality in her left knee, even with daily physical therapy. Penelope undergoes several months of physical therapy, but her knee makes no recovery. She then files a claim with her insurance company for three months' worth of lost income."
Personal Accident II,unambiguous_uncovered,14,14,1,0.4827586206896552,0.4827586206896552,0.034482758620689655,Personal Accidents,"Penelope's car insurance policy includes coverage for up to three months of lost income stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in or getting into or out of your car, resulting in permanent and total loss of use of one or more limbs.""</b>","Penelope is a personal trainer, and on weekends she often goes camping. One day, she is injured in a car crash that occurs while she is driving to a campsite. The doctor informs her that after the accident, she will regain full functionality in her left knee if she commits to daily physical therapy for three months. Penelope commits to the recovery program and completely recovers. She then files a claim with her insurance company for three months' worth of lost income."
Public Liability Property Damages,controversial,16,22,1,0.41025641025641024,0.5641025641025641,0.02564102564102564,Public Liability Property Damages,"Dave has insurance that covers ""Public Liability Property Damages,"" defined as <b>""the damages that you are legally liable to pay for damage to third party property.""</b> The insurance policy also states that <b>""we will not pay for your losses if you failed to take reasonable steps to prevent the damage from occurring.""</b>","One day, Dave is exiting the parking lot of a restaurant. Because he checks his car's manual regularly, he knows his car is a month overdue for scheduled maintenance. However, his brakes fail as he begins to drive, and he collides with the landscaping around the restaurant's property. No one is hurt, but the restaurant successfully sues Dave for the damage, costing Dave thousands of dollars. Dave files a claim with his insurance company for the losses."
Public Liability Property Damages,unambiguous_covered,22,1,1,0.9166666666666666,0.041666666666666664,0.041666666666666664,Public Liability Property Damages,"Dave has insurance that covers ""Public Liability Property Damages,"" defined as <b>""the damages that you are legally liable to pay for damage to third party property.""</b> The insurance policy also states that <b>""we will not pay for your losses if you failed to take reasonable steps to prevent the damage from occurring.""</b>","One day, Dave is exiting the parking lot of a restaurant. Because he checks his car's manual regularly, he has just brought his car to a mechanic for scheduled maintenance. However, his brakes fail as he begins to drive, and he collides with the landscaping around the restaurant's property. No one is hurt, but the restaurant successfully sues Dave for the damage, costing Dave thousands of dollars. Dave files a claim with his insurance company for the losses."
Public Liability Property Damages,unambiguous_uncovered,2,31,0,0.06060606060606061,0.9393939393939394,0,Public Liability Property Damages,"Dave has insurance that covers ""Public Liability Property Damages,"" defined as <b>""the damages that you are legally liable to pay for damage to third party property.""</b> The insurance policy also states that <b>""we will not pay for your losses if you failed to take reasonable steps to prevent the damage from occurring.""</b>","One day, Dave is exiting the parking lot of a restaurant. Because the car's brake warning light has been on for months and his brakes have felt very unresponsive, he knows his car is in need of service. However, his brakes fail as he begins to drive, and he collides with the landscaping around the restaurant's property. No one is hurt, but the restaurant successfully sues Dave for the damage, costing Dave thousands of dollars. Dave files a claim with his insurance company for the losses."
Storm Damage,controversial,22,9,2,0.6666666666666666,0.2727272727272727,0.06060606060606061,Storm Damage,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage."
Storm Damage,unambiguous_covered,25,1,1,0.9259259259259259,0.037037037037037035,0.037037037037037035,Storm Damage,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his roof, causing a fire. Almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage."
Storm Damage,unambiguous_uncovered,1,33,1,0.02857142857142857,0.9428571428571428,0.02857142857142857,Storm Damage,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage."
Trace and Access I,controversial,15,4,2,0.7142857142857143,0.19047619047619047,0.09523809523809523,Trace and Access,"Justin has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables or pipes in your home.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he inadvertently punctures a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage."
Trace and Access I,unambiguous_covered,22,6,2,0.7333333333333333,0.2,0.06666666666666667,Trace and Access,"Justin has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables or pipes in your home.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he notices more extensive damage to a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage."
Trace and Access I,unambiguous_uncovered,10,25,3,0.2631578947368421,0.6578947368421053,0.07894736842105263,Trace and Access,"Justin has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables or pipes in your home.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he accidentally drops his wedding ring down a pipe that leads to the kitchen. In order to access the pipe and retrieve the ring, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage."
Trace and Access II,controversial,22,10,3,0.6285714285714286,0.2857142857142857,0.08571428571428572,Trace and Access,"Jett has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from your home.""</b>","Jett discovers that his house's water pressure is very low, and he calls an inspector to survey what may be the issue. Floorboards have to be removed to access the piping. It is then discovered that the water pipes have cracked over time due to long-term wear, an issue which could have been resolved by the previous inspector. Jett files a claim with his insurance company for the damage. ."
Trace and Access II,unambiguous_covered,23,4,3,0.7666666666666667,0.13333333333333333,0.1,Trace and Access,"Jett has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from your home.""</b>","Jett discovers that his house's water pressure is very low, and he calls an inspector to survey what may be the issue. Floorboards have to be removed to access the piping. It is then discovered that the water pipes froze in a recent winter storm, causing them to abruptly crack. Jett files a claim with his insurance company for the damage."
Trace and Access II,unambiguous_uncovered,9,13,3,0.36,0.52,0.12,Trace and Access,"Jett has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from your home.""</b>","Jett discovers that his house's water pressure is very low, and he calls an inspector to survey what may be the issue. Floorboards have to be removed to access the piping. It is then discovered that the issue is due to the fact that Jett did an extremely poor job installing the piping. Jett files a claim with his insurance company for the damage."
Vehicle Damage I,controversial,20,13,1,0.5882352941176471,0.38235294117647056,0.029411764705882353,Vehicle Damage,"Jenny's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss of or damage to the policyholder's car if, at the time of the incident, it was under the custody or control of anyone with the policyholder's permission who is not covered under the policy.""</b>","Jenny goes on vacation and leaves her car key with her neighbor for safe keeping. One day, while the car is parked on the street outside her house, a utility pole falls unexpectedly and lands on the hood of the car, damaging it severely. Jenny files a claim with her insurance company for the damage."
Vehicle Damage I,unambiguous_covered,24,3,3,0.8,0.1,0.1,Vehicle Damage,"Jenny's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss of or damage to the policyholder's car if, at the time of the incident, it was under the custody or control of anyone with the policyholder's permission who is not covered under the policy.""</b>","Jenny goes on vacation and leaves her car key in a safe inside her house. One day, while the car is parked on the street outside her house, a utility pole falls unexpectedly and lands on the hood of the car, damaging it severely. Jenny files a claim with her insurance company for the damage."
Vehicle Damage I,unambiguous_uncovered,13,7,1,0.6190476190476191,0.3333333333333333,0.047619047619047616,Vehicle Damage,"Jenny's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss of or damage to the policyholder's car if, at the time of the incident, it was under the custody or control of anyone with the policyholder's permission who is not covered under the policy.""</b>","Jenny goes on vacation and leaves her car key with a friend so that the friend can use the car while she is away. One day, while the car is parked on the street outside her friend's house, a utility pole falls unexpectedly and lands on the hood of the car, damaging it severely. Jenny files a claim with her insurance company for the damage."
Vehicle Damage II,controversial,20,11,2,0.6060606060606061,0.3333333333333333,0.06060606060606061,Vehicle Damage,"John's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss or damage caused by wear and tear.""</b>","John takes generally good care of his car, but one day he is involved in a minor accident which knocks his front left wheel out of alignment. He brings his car in to a mechanic to have the wheel re-aligned, but the mechanic tells John that his car will also need substantial repair work because the unaligned wheel has been scraping against the body of the car since the accident. John files a claim with his insurance company for the damage."
Vehicle Damage II,unambiguous_covered,16,3,0,0.8421052631578947,0.15789473684210525,0,Vehicle Damage,"John's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss or damage caused by wear and tear.""</b>","John takes generally good care of his car, but one day he is involved in a minor accident which damages his front left wheel. He brings the car to a mechanic to have the wheel replaced. John files a claim with his insurance company for the damage."
Vehicle Damage II,unambiguous_uncovered,3,28,1,0.09375,0.875,0.03125,Vehicle Damage,"John's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss or damage caused by wear and tear.""</b>","John takes generally good care of his car, but over the years he has noticed a gradual buildup of rust on his front left wheel. He brings the car to a mechanic to have the wheel replaced. John files a claim with his insurance company for the damage."
Vehicle Damage III,controversial,13,16,2,0.41935483870967744,0.5161290322580645,0.06451612903225806,Vehicle Damage,"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b>","One day, Steve is involved in a minor accident. His tablet computer, which he uses for navigation and which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage."
Vehicle Damage III,unambiguous_covered,30,2,0,0.9375,0.0625,0,Vehicle Damage,"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b>","One day, Steve is involved in a minor accident. His GPS navigation system, which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage."
Vehicle Damage III,unambiguous_uncovered,3,21,0,0.125,0.875,0,Vehicle Damage,"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b>","One day, Steve is involved in a minor accident. His favorite guitar, which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage."
Vehicle Damage IV,controversial,10,10,0,0.5,0.5,0,Vehicle Damage,"Chris's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) audio equipment (while in the car)."" </b>","One day, Chris is involved in a minor accident. His portable Bluetooth speaker, which was in the car at the time, was damaged. Chris files a claim with his insurance company for the damage."
Vehicle Damage IV,unambiguous_covered,32,0,0,1,0,0,Vehicle Damage,"Chris's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) audio equipment (while in the car)."" </b>","One day, Chris is involved in a minor accident. His car stereo system and speakers were damaged. Chris files a claim with his insurance company for the damage."
Vehicle Damage IV,unambiguous_uncovered,4,25,3,0.125,0.78125,0.09375,Vehicle Damage,"Chris's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) audio equipment (while in the car)."" </b>","One day, Chris is involved in a minor accident. His work laptop, which was in the car at the time, was damaged. Chris files a claim with his insurance company for the damage."
Vehicle Damage V,controversial,15,6,3,0.625,0.25,0.125,Vehicle Damage,"James' car insurance policy includes coverage for ""Vehicle Damage,"" defined as  <b>""damage to the policy holder's 1) car; or 2) car accessories, including children's car seats (while in or on the car)."" </b>","James is about to head out for work when he realizes he needs to clean out his car since he'll be taking some colleagues to lunch. He removes his child's car seat and places it on the trunk of the car. James forgets about the car seat and begins to drive away with it still on his car. Shortly thereafter, he gets into an accident. The car seat is severely damaged in the crash. James files a claim with his insurance company for the damage."
Vehicle Damage V,unambiguous_covered,28,2,1,0.9032258064516129,0.06451612903225806,0.03225806451612903,Vehicle Damage,"James' car insurance policy includes coverage for ""Vehicle Damage,"" defined as  <b>""damage to the policy holder's 1) car; or 2) car accessories, including children's car seats (while in or on the car)."" </b>","James is about to head out for work when he realizes he needs to clean out his car since he'll be taking some colleagues to lunch. He removes his child's car seat and places it on the trunk of the car. He heads back into his house to grab something he forgot, and he returns to find that another car has crashed into his parked car. The car seat is severely damaged in the crash. James files a claim with his insurance company for the damage."
Vehicle Damage V,unambiguous_uncovered,8,17,0,0.32,0.68,0,Vehicle Damage,"James' car insurance policy includes coverage for ""Vehicle Damage,"" defined as  <b>""damage to the policy holder's 1) car; or 2) car accessories, including children's car seats (while in or on the car)."" </b>","James is about to head out for work when he realizes he needs to clean out his car since he'll be taking some colleagues to lunch. He removes his child's car seat and places it on the trunk of the car. He heads back into his house to grab something he forgot, and he returns to find that the car seat has been stolen. James files a claim with his insurance company for the loss."
Vehicle Fire II,controversial,27,11,4,0.6428571428571429,0.2619047619047619,0.09523809523809523,Vehicle Fire,"Gene's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>loss or damage as a result of fire to the policy holder's car or audio equipment (while in or on the car).""</b>","One day, Gene parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. Gene notices and manages to extinguish the fire before it totals the car, but not before the fire spreads to a portable Bluetooth speaker that Gene left next to the phone. Gene files a claim with his insurance company for the loss."
Vehicle Fire II,unambiguous_covered,22,8,6,0.6111111111111112,0.2222222222222222,0.16666666666666666,Vehicle Fire,"Gene's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>loss or damage as a result of fire to the policy holder's car or audio equipment (while in or on the car).""</b>","One day, Gene parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. Gene notices and manages to extinguish the fire before it totals the car, but not before the fire spreads to one of his car's stereo speakers, which was adjacent to the phone.  Gene files a claim with his insurance company for the loss."
Vehicle Fire II,unambiguous_uncovered,10,17,2,0.3448275862068966,0.5862068965517241,0.06896551724137931,Vehicle Fire,"Gene's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>loss or damage as a result of fire to the policy holder's car or audio equipment (while in or on the car).""</b>","One day, Gene parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. Gene notices and manages to extinguish the fire before it totals the car, but not before the fire destroys several hundred dollars in bills that Gene left next to the phone. Gene files a claim with his insurance company for the loss."
Vehicle Fire III,controversial,22,7,4,0.6666666666666666,0.21212121212121213,0.12121212121212122,Vehicle Fire,"Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>","One day, Ken parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. The fire does not spread to the rest of the car, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage."
Vehicle Fire III,unambiguous_covered,30,2,1,0.9090909090909091,0.06060606060606061,0.030303030303030304,Vehicle Fire,"Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>","One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage."
Vehicle Fire III,unambiguous_uncovered,3,28,3,0.08823529411764706,0.8235294117647058,0.08823529411764706,Vehicle Fire,"Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>","One day, Ken parks his car next to his home and leaves a smoldering cigarette butt in his car ashtray. The cigarette butt does not catch fire, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage."
Vehicle Glass I,controversial,17,2,0,0.8947368421052632,0.10526315789473684,0,Vehicle Glass,"Ahmad's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass in the car's windows or windshield.""</b>","Ahmad drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front windshield. When he returns, he discovers a baseball near the car, and that the windshield appears chipped but otherwise functional and intact. Ahmad files a claim with his insurance company for the damage."
Vehicle Glass I,unambiguous_covered,28,1,1,0.9333333333333333,0.03333333333333333,0.03333333333333333,Vehicle Glass,"Ahmad's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass in the car's windows or windshield.""</b>","Ahmad drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front windshield. When he returns, he discovers the baseball on his windshield, which has been shattered beyond repair. Ahmad files a claim with his insurance company for the damage."
Vehicle Glass I,unambiguous_uncovered,3,15,0,0.16666666666666666,0.8333333333333334,0,Vehicle Glass,"Ahmad's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass in the car's windows or windshield.""</b>","Ahmad drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front windshield. When he returns, he discovers a baseball near the car, and that the windshield appears fully intact save for a minor cosmetic scratch. Ahmad files a claim with his insurance company for the damage."
Vehicle Glass II,controversial,22,2,0,0.9166666666666666,0.08333333333333333,0,Vehicle Glass,"Aneesh's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass, and any scratching to the bodywork caused solely and directly by broken glass.""</b>","Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits one of his car's side mirrors. When he returns, he discovers that the side mirror has been severely damaged and that broken shards from the side mirror managed to leave scratches on the car. Aneesh files a claim with his insurance company for the damage."
