item,Title,version,header,continuation,name_gender,notes,locus_of_uncertainty,locus_of_uncertainty_location
Loss or Damage to a Goods Carrying Vehicle,Goods Carrying Vehicle: Loss or Damage to Vehicle,unambiguous_covered,"Peter has insurance that covers ""Loss or Damage to a Goods Carrying Vehicle,"" which includes <b>""key replacement in the case of theft.""</b>","As part of his bakery business, Peter owns a van which he uses to make local deliveries. One day, Peter is mugged by an individual who takes the key to the van. Replacing the key costs Peter hundreds of dollars. Peter files a claim with his insurance company for his losses.",male,yes theft ,key theft ,definition_incl
Loss or Damage to a Goods Carrying Vehicle,Goods Carrying Vehicle: Loss or Damage to Vehicle,controversial,"Peter has insurance that covers ""Loss or Damage to a Goods Carrying Vehicle,"" which includes <b>""key replacement in the case of theft.""</b>","As part of his bakery business, Peter owns a van which he uses to make local deliveries. One day, Peter lends the van to an absent-minded acquaintance, who returns the van but neglects to return the key and does not answer Peter's insistent calls. Replacing the key costs Peter hundreds of dollars. Peter files a claim with his insurance company for his losses.",male,maybe theft,key theft ,definition_incl
Malicious Acts or Vandalism,Malicious Acts or Vandalism I,unambiguous_uncovered,"Olivia has home insurance that covers damage from ""Malicious Acts or Vandalism,"" defined as <b>""actions involving deliberate destruction or damage to the policyholder's property.""</b>","Olivia lives in a very quiet neighborhood at the edge of town. One day, a garbage truck accidentally topples over in front of Olivia's house, littering her property with debris and costing her hundreds of dollars in cleanup expenses. Olivia files a claim with her insurance company for the damages.",female,not deliberate ,deliberate,definition_exh
Malicious Acts or Vandalism,Malicious Acts or Vandalism I,unambiguous_covered,"Olivia has home insurance that covers damage from ""Malicious Acts or Vandalism,"" defined as <b>""actions involving deliberate destruction or damage to the policyholder's property.""</b>","Olivia lives in a very quiet neighborhood at the edge of town. One day, a group of teenagers spread several bags' worth of garbage in front of Olivia's house as a prank, littering her property with debris and costing her hundreds of dollars in cleanup expenses. Olivia files a claim with her insurance company for the damages.",female,yes deliberate ,deliberate ,definition_exh
Malicious Acts or Vandalism,Malicious Acts or Vandalism I,controversial,"Olivia has home insurance that covers damage from ""Malicious Acts or Vandalism,"" defined as <b>""actions involving deliberate destruction or damage to the policyholder's property.""</b>","Olivia lives in a very quiet neighborhood at the edge of town. One day, a group of reckless teenagers crash their car into several bags' worth of garbage in front of Olivia's house while driving almost double the speed limit, littering her property with debris and costing her hundreds of dollars in cleanup expenses. Olivia files a claim with her insurance company for the damages.",female,maybe deliberate ,deliberate ,definition_exh
Malicious Acts or Vandalism,Malicious Acts or Vandalism II,unambiguous_uncovered,"Beth has home insurance that covers losses from ""Malicious Acts or Vandalism,"" defined as <b>""costs associated with repairing deliberate damage to the policyholder's property made by an adverse third party.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day,  she sees that an exterior wall of her house is covered with drawings made in permanent marker. She reviews her home surveillance footage and sees that it was her children who drew on the wall. She hires professional painters to paint over the drawing. Beth files a claim with her insurance company for the damages. ",female,not a third party ,third party ,definition_exh
Malicious Acts or Vandalism,Malicious Acts or Vandalism II,unambiguous_covered,"Beth has home insurance that covers losses from ""Malicious Acts or Vandalism,"" defined as <b>""costs associated with repairing deliberate damage to the policyholder's property made by an adverse third party.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day,  she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of neighborhood teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages. ",female,yes third party ,third party ,definition_exh
Malicious Acts or Vandalism,Malicious Acts or Vandalism II,controversial,"Beth has home insurance that covers losses from ""Malicious Acts or Vandalism,"" defined as <b>""costs associated with repairing deliberate damage to the policyholder's property made by an adverse third party.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day,  she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that her estranged young adult son spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages. ",female,maybe third party ,third party,definition_exh
Personal Accident,Personal Accident I,unambiguous_uncovered,"Gwen's car insurance policy includes coverage for damages stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in your car.""</b>","One day, Gwen drives her SUV to the grocery store. After buying groceries, she injures her wrist when she lifts a heavy grocery bag into her car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages. ",female,not during allowed window,traveling in,definition_exh
Personal Accident,Personal Accident I,unambiguous_covered,"Gwen's car insurance policy includes coverage for damages stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in your car.""</b>","One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages. ",female,yes during allowed window ,traveling in ,definition_exh
Personal Accident,Personal Accident I,controversial,"Gwen's car insurance policy includes coverage for damages stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in your car.""</b>","One day, Gwen drives her SUV to the grocery store. After she parks the car, she injures her wrist when she opens her driver-side door into an oncoming car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages. ",female,maybe during allowed window,traveling in ,definition_exh
Personal Accidents,Personal Accident II,unambiguous_uncovered,"Penelope's car insurance policy includes coverage for up to three months of lost income stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in or getting into or out of your car, resulting in permanent and total loss of use of one or more limbs.""</b>","Penelope is a personal trainer, and on weekends she often goes camping. One day, she is injured in a car crash that occurs while she is driving to a campsite. The doctor informs her that after the accident, she will regain full functionality in her left knee if she commits to daily physical therapy for three months. Penelope commits to the recovery program and completely recovers. She then files a claim with her insurance company for three months' worth of lost income.",female,not permanent or total loss,permanent or total loss ,definition_exh
Personal Accidents,Personal Accident II,unambiguous_covered,"Penelope's car insurance policy includes coverage for up to three months of lost income stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in or getting into or out of your car, resulting in permanent and total loss of use of one or more limbs.""</b>","Penelope is a personal trainer, and on weekends she often goes camping. One day, she is injured in a car crash that occurs while she is driving to a campsite. The doctor informs her that after the accident, she will never regain functionality in her left knee, even with daily physical therapy. Penelope undergoes several months of physical therapy, but her knee makes no recovery. She then files a claim with her insurance company for three months' worth of lost income.",female,yes permanent or total loss,permanent or total loss ,definition_exh
Personal Accidents,Personal Accident II,controversial,"Penelope's car insurance policy includes coverage for up to three months of lost income stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in or getting into or out of your car, resulting in permanent and total loss of use of one or more limbs.""</b>","Penelope is a personal trainer, and on weekends she often goes camping. One day, she is injured in a car crash that occurs while she is driving to a campsite. The doctor informs her that after the accident, she will regain full functionality in her left knee if she commits to expensive physical therapy for three months. Penelope is unable to afford the recovery program, so she never regains use of her knee. She then files a claim with her insurance company for three months' worth of lost income.",female,maybe permanent or total loss,permanent or total loss ,definition_exh
Public Liability Property Damages,Public Liability Property Damages,unambiguous_uncovered,"Dave has insurance that covers ""Public Liability Property Damages,"" defined as <b>""the damages that you are legally liable to pay for damage to third party property.""</b> The insurance policy also states that <b>""we will not pay for your losses if you failed to take reasonable steps to prevent the damage from occurring.""</b>","One day, Dave is exiting the parking lot of a restaurant. Because the car's brake warning light has been on for months and his brakes have felt very unresponsive, he knows his car is in need of service. However, his brakes fail as he begins to drive, and he collides with the landscaping around the restaurant's property. No one is hurt, but the restaurant successfully sues Dave for the damage, costing Dave thousands of dollars. Dave files a claim with his insurance company for the losses. ",male,neglecting brake light = not reasonable steps,reasonable steps,exclusion
Public Liability Property Damages,Public Liability Property Damages,unambiguous_covered,"Dave has insurance that covers ""Public Liability Property Damages,"" defined as <b>""the damages that you are legally liable to pay for damage to third party property.""</b> The insurance policy also states that <b>""we will not pay for your losses if you failed to take reasonable steps to prevent the damage from occurring.""</b>","One day, Dave is exiting the parking lot of a restaurant. Because he checks his car's manual regularly, he has just brought his car to a mechanic for scheduled maintenance. However, his brakes fail as he begins to drive, and he collides with the landscaping around the restaurant's property. No one is hurt, but the restaurant successfully sues Dave for the damage, costing Dave thousands of dollars. Dave files a claim with his insurance company for the losses. ",male,regular maintenance = reasonable steps,reasonable steps,exclusion
Public Liability Property Damages,Public Liability Property Damages,controversial,"Dave has insurance that covers ""Public Liability Property Damages,"" defined as <b>""the damages that you are legally liable to pay for damage to third party property.""</b> The insurance policy also states that <b>""we will not pay for your losses if you failed to take reasonable steps to prevent the damage from occurring.""</b>","One day, Dave is exiting the parking lot of a restaurant. Because he checks his car's manual regularly, he knows his car is a month overdue for scheduled maintenance. However, his brakes fail as he begins to drive, and he collides with the landscaping around the restaurant's property. No one is hurt, but the restaurant successfully sues Dave for the damage, costing Dave thousands of dollars. Dave files a claim with his insurance company for the losses. ",male,missing a regular service - unreasonable?,reasonable steps,exclusion
Wind Damage,Wind Damage,unambiguous_uncovered,"Tom's home insurance policy includes coverage for ""Wind Damage,"" defined as <b>""damage from wind speeds with gusts of at least 55 mph.""</b>","Tom's house is located near a large lake. One day, strong winds in excess of 55mph blow across the lake while Tom is working on his roof, but it's a loud and surprising ring from his cell phone that causes him to drop his heavy toolbox and thereby damage the roof. Tom files a claim with his insurance company for the damage. ",male,damage from surprise cell phone call ,"causative ""from""",definition_exh
Wind Damage,Wind Damage,unambiguous_covered,"Tom's home insurance policy includes coverage for ""Wind Damage,"" defined as <b>""damage from wind speeds with gusts of at least 55 mph.""</b>","Tom's house is located near a large lake. One day, strong winds in excess of 55mph blow across the lake and towards Tom's house, damaging the roof. Tom files a claim with his insurance company for the damage. ",male,damage from wind,"causative ""from""",definition_exh
Wind Damage,Wind Damage,controversial,"Tom's home insurance policy includes coverage for ""Wind Damage,"" defined as <b>""damage from wind speeds with gusts of at least 55 mph.""</b>","Tom's house is located near a large lake. One day, strong winds in excess of 55mph blow across the lake, causing waves to crash into Tom's house and thereby damaging the roof. Tom files a claim with his insurance company for the damage. ",male,is damage from waves caused by wind damage 'from' wind?,"causative ""from""",definition_exh
Storm Damage,Storm Damage,unambiguous_uncovered,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. ",male,"cam definitely cause, not storm",cause,definition_exh
Storm Damage,Storm Damage,unambiguous_covered,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his roof, causing a fire. Almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. ",male,storm definitely cause,cause,definition_exh
Storm Damage,Storm Damage,controversial,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. ",male,"power surge, maybe cause?",cause,definition_exh
Hail Damage,Hail Damage,unambiguous_uncovered,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>","One day, a hail storm hits Rick's house and causes damage to the plants on his balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Rick files a claim with his insurance company for the damage. ",male,plants not hard surface,hard surface,definition_exh
Hail Damage,Hail Damage,unambiguous_covered,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>","One day, a hail storm hits Rick's house and causes damage to his roof's clay shingles. Many shingles are chipped and some even develop large cracks, causing the roof to leak. Rick files a claim with his insurance company for the damage.",male,clay shingle probably a hard surface,hard surface,definition_exh
Hail Damage,Hail Damage,controversial,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>","One day, a hail storm hits Rick's house and causes damage to his skylight window. The window is chipped, but the roof is not leaking. Rick files a claim with his insurance company for the damage. ",male,glass in this case a hard surface?,hard surface,definition_exh
Ground Heave,Ground Heave I,unambiguous_uncovered,"Blake has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage. ",male,dance party not ground heave,ground heave,definition_exh
Ground Heave,Ground Heave I,unambiguous_covered,"Blake has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One evening, an earthquake erupts near Blake's house. The force of the earthquake causes Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage. ",male,earthquake def ground heave,ground heave,definition_exh
Ground Heave,Ground Heave I,controversial,"Blake has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One evening, two semi trucks collide with one another at high speed outside Blake's house. The impact from the crash causes Blake's house to shake and thereby damages the house's foundation. Blake files a claim with his insurance company for the damage.",male,ground shaking from large crash = heave?,ground heave,definition_exh
Ground Heave,Ground Heave II,unambiguous_uncovered,"Clint has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One day, Clint hears a loud crash in his house and finds that his roof has partly caved in due to water damage. Clint files a claim with his insurance company for the damage. ",male,roof caving in = def not ground heave,ground heave,definition_exh
Ground Heave,Ground Heave II,unambiguous_covered,"Clint has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One day, Clint hears a loud crash in his house and finds that the ground beneath his house has shifted, causing his house's foundation to crack. Clint files a claim with his insurance company for the damage. ",male,shifting ,ground heave,definition_exh
Ground Heave,Ground Heave II,controversial,"Clint has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One day, Clint hears a loud crash in his house and finds that a large tree has fallen on his roof, causing significant damage. Clint files a claim with his insurance company for the damage. ",male,fallen tree = possibly ground heave? ,ground heave,definition_exh
Trace and Access,Trace and Access I,unambiguous_uncovered,"Justin has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables or pipes in your home.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he accidentally drops his wedding ring down a pipe that leads to the kitchen. In order to access the pipe and retrieve the ring, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage. ",male,dropping wedding ring: not necessary/reasonable,necessary and reasonable,definition_exh
Trace and Access,Trace and Access I,unambiguous_covered,"Justin has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables or pipes in your home.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he notices more extensive damage to a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage. ",male,further damage: necessary/reasonable,necessary and reasonable,definition_exh
Trace and Access,Trace and Access I,controversial,"Justin has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables or pipes in your home.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he inadvertently punctures a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage. ",male,"skilled guy causing more damage, maybe reasonable?",necessary and reasonable,definition_exh
Trace and Access,Trace and Access II,unambiguous_uncovered,"Jett has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from your home.""</b>","Jett discovers that his house's water pressure is very low, and he calls an inspector to survey what may be the issue. Floorboards have to be removed to access the piping. It is then discovered that the issue is due to the fact that Jett did an extremely poor job installing the piping. Jett files a claim with his insurance company for the damage. ",male,no accidental ,accidental ,definition_exh
Trace and Access,Trace and Access II,unambiguous_covered,"Jett has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from your home.""</b>","Jett discovers that his house's water pressure is very low, and he calls an inspector to survey what may be the issue. Floorboards have to be removed to access the piping. It is then discovered that the water pipes froze in a recent winter storm, causing them to abruptly crack. Jett files a claim with his insurance company for the damage. ",male,yes accidental ,accidental ,definition_exh
Trace and Access,Trace and Access II,controversial,"Jett has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from your home.""</b>","Jett discovers that his house's water pressure is very low, and he calls an inspector to survey what may be the issue. Floorboards have to be removed to access the piping. It is then discovered that the water pipes have cracked over time due to long-term wear, an issue which could have been resolved by the previous inspector. Jett files a claim with his insurance company for the damage. . ",male,maybe accidental ,accidental ,definition_exh
Vehicle Damage,Vehicle Damage I,unambiguous_uncovered,"Jenny's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss of or damage to the policyholder's car if, at the time of the incident, it was under the custody or control of anyone with the policyholder's permission who is not covered under the policy.""</b>","Jenny goes on vacation and leaves her car key with a friend so that the friend can use the car while she is away. One day, while the car is parked on the street outside her friend's house, a utility pole falls unexpectedly and lands on the hood of the car, damaging it severely. Jenny files a claim with her insurance company for the damage. ",female,friend def in custody,custody or control,exclusion
Vehicle Damage,Vehicle Damage I,unambiguous_covered,"Jenny's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss of or damage to the policyholder's car if, at the time of the incident, it was under the custody or control of anyone with the policyholder's permission who is not covered under the policy.""</b>","Jenny goes on vacation and leaves her car key in a safe inside her house. One day, while the car is parked on the street outside her house, a utility pole falls unexpectedly and lands on the hood of the car, damaging it severely. Jenny files a claim with her insurance company for the damage.",female,no one in custody,custody or control,exclusion
Vehicle Damage,Vehicle Damage I,controversial,"Jenny's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss of or damage to the policyholder's car if, at the time of the incident, it was under the custody or control of anyone with the policyholder's permission who is not covered under the policy.""</b>","Jenny goes on vacation and leaves her car key with her neighbor for safe keeping. One day, while the car is parked on the street outside her house, a utility pole falls unexpectedly and lands on the hood of the car, damaging it severely. Jenny files a claim with her insurance company for the damage. ",female,neighbor maybe not 'custody',custody or control,exclusion
Vehicle Damage,Vehicle Damage II,unambiguous_uncovered,"John's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss or damage caused by wear and tear.""</b>","John takes generally good care of his car, but over the years he has noticed a gradual buildup of rust on his front left wheel. He brings the car to a mechanic to have the wheel replaced. John files a claim with his insurance company for the damage. ",male,rust def wear and tear,wear and tear,exclusion
Vehicle Damage,Vehicle Damage II,unambiguous_covered,"John's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss or damage caused by wear and tear.""</b>","John takes generally good care of his car, but one day he is involved in a minor accident which damages his front left wheel. He brings the car to a mechanic to have the wheel replaced. John files a claim with his insurance company for the damage. ",male,minor accident = def not wear and tear,wear and tear,exclusion
Vehicle Damage,Vehicle Damage II,controversial,"John's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss or damage caused by wear and tear.""</b>","John takes generally good care of his car, but one day he is involved in a minor accident which knocks his front left wheel out of alignment. He brings his car in to a mechanic to have the wheel re-aligned, but the mechanic tells John that his car will also need substantial repair work because the unaligned wheel has been scraping against the body of the car since the accident. John files a claim with his insurance company for the damage. ",male,wear and tear if caused by accident? ,wear and tear,exclusion
Vehicle Damage,Vehicle Damage III,unambiguous_uncovered,"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b> ","One day, Steve is involved in a minor accident. His favorite guitar, which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage. ",male,guitar not accessory,accessory,definition_exh
Vehicle Damage,Vehicle Damage III,unambiguous_covered,"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b> ","One day, Steve is involved in a minor accident. His GPS navigation system, which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage. ",male,gps navigation system def accessory,accessory,definition_exh
Vehicle Damage,Vehicle Damage III,controversial,"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b> ","One day, Steve is involved in a minor accident. His tablet computer, which he uses for navigation and which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage. ",male,tablet used for navigation possibly accessory,accessory,definition_exh
Vehicle Damage,Vehicle Damage IV,unambiguous_uncovered,"Chris's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) audio equipment (while in the car)."" </b> ","One day, Chris is involved in a minor accident. His work laptop, which was in the car at the time, was damaged. Chris files a claim with his insurance company for the damage. ",male,laptop not audio equipment,audio equipment,definition_exh
Vehicle Damage,Vehicle Damage IV,unambiguous_covered,"Chris's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) audio equipment (while in the car)."" </b> ","One day, Chris is involved in a minor accident. His car stereo system and speakers were damaged. Chris files a claim with his insurance company for the damage. ",male,car stereo definitely audio equipment,audio equipment,definition_exh
Vehicle Damage,Vehicle Damage IV,controversial,"Chris's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) audio equipment (while in the car)."" </b> ","One day, Chris is involved in a minor accident. His portable Bluetooth speaker, which was in the car at the time, was damaged. Chris files a claim with his insurance company for the damage. ",male,Bluetooth headset maybe not audio equipment for purposes of policy,audio equipment,definition_exh
Vehicle Damage,Vehicle Damage V,unambiguous_uncovered,"James' car insurance policy includes coverage for ""Vehicle Damage,"" defined as  <b>""damage to the policy holder's 1) car; or 2) car accessories, including children's car seats (while in or on the car)."" </b>","James is about to head out for work when he realizes he needs to clean out his car since he'll be taking some colleagues to lunch. He removes his child's car seat and places it on the trunk of the car. He heads back into his house to grab something he forgot, and he returns to find that the car seat has been stolen. James files a claim with his insurance company for the loss. ",male,theft not damage,damage,definition_exh
Vehicle Damage,Vehicle Damage V,unambiguous_covered,"James' car insurance policy includes coverage for ""Vehicle Damage,"" defined as  <b>""damage to the policy holder's 1) car; or 2) car accessories, including children's car seats (while in or on the car)."" </b>","James is about to head out for work when he realizes he needs to clean out his car since he'll be taking some colleagues to lunch. He removes his child's car seat and places it on the trunk of the car. He heads back into his house to grab something he forgot, and he returns to find that another car has crashed into his parked car. The car seat is severely damaged in the crash. James files a claim with his insurance company for the damage. ",male,car seat definitely covered,damage,definition_exh
Vehicle Damage,Vehicle Damage V,controversial,"James' car insurance policy includes coverage for ""Vehicle Damage,"" defined as  <b>""damage to the policy holder's 1) car; or 2) car accessories, including children's car seats (while in or on the car)."" </b>","James is about to head out for work when he realizes he needs to clean out his car since he'll be taking some colleagues to lunch. He removes his child's car seat and places it on the trunk of the car. James forgets about the car seat and begins to drive away with it still on his car. Shortly thereafter, he gets into an accident. The car seat is severely damaged in the crash. James files a claim with his insurance company for the damage. ",male,car seat maybe not covered?,damage,definition_exh
Vehicle Theft,Vehicle Theft I,unambiguous_uncovered,"Gisele's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or audio equipment (while in or on the car).""</b>","Gisele, who lives alone, goes on vacation and leaves her car in her home garage. However, surveillance footage captures a masked assailant breaking into Gisele's car and stealing her briefcase, which contained her work laptop. Gisele files a claim with her insurance company for the loss. ",female,briefcase not audio equipment,audio equipment,definition_exh
Vehicle Theft,Vehicle Theft I,unambiguous_covered,"Gisele's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or audio equipment (while in or on the car).""</b>","Gisele, who lives alone, goes on vacation and leaves her car in her home garage. However, surveillance footage captures a masked assailant breaking into Gisele's car and stealing her car stereo. Gisele files a claim with her insurance company for the loss.",female,car stereo definitely audio equipment,audio equipment,definition_exh
Vehicle Theft,Vehicle Theft I,controversial,"Gisele's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or audio equipment (while in or on the car).""</b>","Gisele, who lives alone, goes on vacation and leaves her car in her home garage. However, surveillance footage captures a masked assailant breaking into Gisele's car and stealing her wireless Bluetooth headset. Gisele files a police report and a claim with her insurance company for her loss. ",female,bluetooth headset maybe not audio equipment for purposes of policy,audio equipment,definition_exh
Vehicle Fire,Vehicle Fire II,unambiguous_uncovered,"Gene's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>loss or damage as a result of fire to the policy holder's car or audio equipment (while in or on the car).""</b>","One day, Gene parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. Gene notices and manages to extinguish the fire before it totals the car, but not before the fire destroys several hundred dollars in bills that Gene left next to the phone. Gene files a claim with his insurance company for the loss. ",male,money not audio equipment,audio equipment,definition_exh
Vehicle Fire,Vehicle Fire II,unambiguous_covered,"Gene's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>loss or damage as a result of fire to the policy holder's car or audio equipment (while in or on the car).""</b>","One day, Gene parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. Gene notices and manages to extinguish the fire before it totals the car, but not before the fire spreads to one of his car's stereo speakers, which was adjacent to the phone.  Gene files a claim with his insurance company for the loss. ",male,stereo speaker definitely audio equipment,audio equipment,definition_exh
Vehicle Fire,Vehicle Fire II,controversial,"Gene's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>loss or damage as a result of fire to the policy holder's car or audio equipment (while in or on the car).""</b>","One day, Gene parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. Gene notices and manages to extinguish the fire before it totals the car, but not before the fire spreads to a portable Bluetooth speaker that Gene left next to the phone. Gene files a claim with his insurance company for the loss. ",male,bluetooth speaker maybe not audio equipment for purposes of policy,audio equipment,definition_exh
Vehicle Fire,Vehicle Fire III,unambiguous_uncovered,"Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>","One day, Ken parks his car next to his home and leaves a smoldering cigarette butt in his car ashtray. The cigarette butt does not catch fire, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.",male,"no fire, just smoke, no coverage",fire damage,definition_exh
Vehicle Fire,Vehicle Fire III,unambiguous_covered,"Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>","One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage. ",male,"damage due to fire, def covered",fire damage,definition_exh
Vehicle Fire,Vehicle Fire III,controversial,"Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>","One day, Ken parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. The fire does not spread to the rest of the car, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.",male,"damage due to fire, but not fire damage?",fire damage,definition_exh
